Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,04,20110813,15
USA,ABW,04,20120703,3
VEN,ABW,08,20140727,16
VEN,ABW,04,20140801,1
BMU,ABW,05,20130221,6
VEN,ABW,04,20140730,2
GBR,ABW,01,20110224,2
ABW,ABW,17,20071219,2
USA,AFG,05,20101118,4
PAK,AFG,18,20121026,10
PAK,AFG,04,20011008,3
PAK,AFG,08,20061211,18
PAK,AFG,07,20120407,1
LBN,AFG,04,20120501,5
WST,AFG,08,20120515,8
PAK,AFG,05,20090404,6
WST,AFG,19,20070603,18
GBR,AFG,04,20140322,10
USA,AFG,04,20120926,12
NLD,AFG,04,20101105,1
USA,AFG,19,20121112,7
IRQ,AFG,04,20131022,6
USA,AFG,09,20110125,10
USA,AFG,13,20011015,4
CHE,AFG,01,20120326,14
LBY,AFG,06,20021015,2
AFG,AFG,18,20081003,3
AFG,AFG,18,20100601,7
AFG,AFG,19,20090207,8
PAK,AFG,03,20120521,17
NZL,AFG,18,20100805,5
AFG,AFG,04,20100830,2
IRQ,AFG,15,20100906,1
PAK,AFG,13,20090424,4
USA,AFG,02,20140528,10
USA,AFG,01,20090521,48
DEU,AFG,19,20041111,8
AFG,AFG,13,20080121,2
IRN,AFG,01,20111216,5
AFG,AFG,10,20110201,1
USA,AFG,11,20120321,4
KAZ,AFG,07,20110527,8
RUS,AFG,04,20141003,2
RUS,AFG,01,20141020,10
IRN,AFG,04,20110618,27
WST,AFG,06,20100518,20
USA,AFG,04,20110831,9
ARE,AFG,04,20090427,2
USA,AFG,11,20090507,21
USA,AFG,01,20140507,2
AFG,AFG,08,20101228,2
WST,AFG,19,20090910,4
USA,AFG,11,20091004,1
WST,AFG,05,20110702,8
WST,AFG,03,20070116,1
AFG,AFG,03,20030708,4
WST,AFG,01,20090507,29
AFG,AFG,16,20040419,13
PAK,AFG,17,20131021,3
CHN,AFG,08,20090925,4
WST,AFG,19,20080313,12
PAK,AFG,11,20080329,6
PAK,AFG,01,20010918,18
PAK,AFG,19,20080910,9
USA,AFG,07,20120502,72
USA,AFG,08,20130530,42
PAK,AFG,19,20030407,1
RUS,AFG,01,20090208,1
USA,AFG,19,20130627,8
DEU,AFG,02,20090406,15
USA,AFG,19,20140530,4
WST,AFG,11,20101116,18
AFG,AFG,01,20121030,12
IRL,AFG,19,20131008,1
FRA,AFG,19,20090801,51
USA,AFG,06,20110415,3
AFG,AFG,03,20061107,2
DEU,AFG,01,20081010,14
IRQ,AFG,05,20100610,2
USA,AFG,04,20100730,27
GBR,AFG,06,20090316,1
USA,AFG,02,20070806,3
WST,AFG,19,20150206,162
USA,AFG,19,20100107,3
AFG,AFG,03,20100209,8
PAK,AFG,05,20110710,5
CZE,AFG,02,20100414,1
IRQ,AFG,03,20141031,12
TJK,AFG,07,20070724,4
KOR,AFG,03,20140306,7
IRQ,AFG,02,20091105,7
AGO,AFG,19,20120312,2
JPN,AFG,04,20110529,1
USA,AFG,01,20020319,1
TKM,AFG,06,20090116,1
AFG,AFG,19,20100619,1
TJK,AFG,04,20130829,10
AFG,AFG,19,20101220,4
WST,AFG,05,20080907,4
CHN,AFG,04,20141022,3
IRQ,AFG,04,20100111,9
PAK,AFG,19,20110619,1
GBR,AFG,19,20100224,8
UZB,AFG,05,20021127,3
UZB,AFG,13,20070322,2
AFG,AFG,19,20030901,5
KOR,AFG,03,20070801,6
PAK,AFG,04,20130809,18
AUS,AFG,04,20150121,9
PAK,AFG,11,20101005,3
PAK,AFG,07,20110925,1
USA,AFG,01,20080307,5
CAN,AFG,04,20110228,18
PAK,AFG,04,20091203,70
PAK,AFG,05,20080708,1
AFG,AFG,05,20140212,7
PAK,AFG,03,20090210,14
USA,AFG,01,20070604,1
USA,AFG,18,20120918,20
WST,AFG,04,20040625,5
USA,AFG,19,20071106,7
IRN,AFG,04,20101227,8
DNK,AFG,19,20080327,18
USA,AFG,11,20091118,1
GBR,AFG,01,20091220,3
PAK,AFG,05,20011109,3
PAK,AFG,04,20011122,3
USA,AFG,01,20130905,48
TJK,AFG,02,20140521,7
