Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
NLD,ABW,04,20110817,2
USA,ABW,04,20140630,10
CAN,ABW,04,20131118,5
USA,ABW,13,20140727,1
USA,ABW,06,20110818,228
PER,ABW,01,20110307,1
PAK,AFG,17,20091024,7
TKM,AFG,04,20051024,2
USA,AFG,04,20111017,1
JPN,AFG,04,20060704,1
PAK,AFG,19,20140129,6
SAU,AFG,10,20091026,8
AFG,AFG,05,20090528,6
PAK,AFG,08,20030109,4
GBR,AFG,15,20091002,1
MYS,AFG,04,20090717,12
AFG,AFG,12,20090219,32
AFG,AFG,08,20080210,9
IRN,AFG,05,20090522,6
USA,AFG,19,20090915,9
AFG,AFG,01,20130825,3
AFG,AFG,16,20090623,10
IRQ,AFG,13,20030202,1
WST,AFG,02,20100906,1
TUR,AFG,01,20011213,2
CAN,AFG,02,20060321,2
GBR,AFG,04,20140902,2
USA,AFG,17,20100730,2
USA,AFG,19,20140217,40
WST,AFG,19,20110912,4
RUS,AFG,04,20100715,1
RUS,AFG,19,20080909,2
USA,AFG,19,20071121,3
AFG,AFG,17,20140401,1
DEU,AFG,04,20011006,3
CAN,AFG,18,20120313,9
DEU,AFG,04,20060704,1
MEX,AFG,03,20110901,5
PAK,AFG,17,20071111,7
WST,AFG,18,20091211,5
TJK,AFG,06,20110602,1
AFG,AFG,17,20091011,10
GBR,AFG,04,20091214,18
GBR,AFG,04,20020723,4
FRA,AFG,05,20120216,1
AFG,AFG,10,20100218,9
BGR,AFG,04,20120229,1
GBR,AFG,04,20111220,27
NGA,AFG,04,20130624,1
AFG,AFG,07,20090122,14
PAK,AFG,04,20120429,2
USA,AFG,03,20080718,2
RWA,AFG,04,20131101,3
RUS,AFG,19,20100228,9
AFG,AFG,01,20140502,3
AFG,AFG,02,20120313,4
IND,AFG,07,20110209,1
CHN,AFG,05,20120105,8
PAK,AFG,18,20110706,35
SAU,AFG,03,20010303,5
IRN,AFG,03,20101010,2
PAK,AFG,04,20141015,390
IRN,AFG,07,20000407,2
USA,AFG,03,20120317,5
AFG,AFG,18,20131015,20
PAK,AFG,04,20140318,3
WST,AFG,05,20111231,4
DEU,AFG,15,20080210,2
PAK,AFG,04,20090225,9
PAK,AFG,19,20090211,7
USA,AFG,04,20111008,14
AFG,AFG,19,20060821,10
USA,AFG,08,20140220,18
SYR,AFG,18,20130416,4
PAK,AFG,02,20080417,3
USA,AFG,05,20110205,3
AFG,AFG,19,20120618,1
DEU,AFG,04,20011102,2
AFG,AFG,05,20130824,3
IRQ,AFG,05,20091006,1
WST,AFG,04,20120525,1
WST,AFG,12,20080210,5
AFG,AFG,01,20021202,1
AFG,AFG,04,20071222,4
USA,AFG,03,20120606,1
PAK,AFG,19,20100623,4
UZB,AFG,08,20120817,10
AFG,AFG,02,20090404,2
GBR,AFG,19,20101116,2
AFG,AFG,18,20130629,20
GBR,AFG,07,20091130,4
AFG,AFG,19,20110701,3
CHN,AFG,05,20090420,5
SYR,AFG,11,20130905,16
USA,AFG,04,20130719,4
ALB,AFG,06,20070910,1
PAK,AFG,11,20140822,100
USA,AFG,04,20110109,32
USA,AFG,08,20100729,7
USA,AFG,13,20130327,2
MYS,AFG,12,20100123,1
TUR,AFG,04,20140929,1
USA,AFG,17,20081231,1
JPN,AFG,04,20070427,8
CAN,AFG,19,20090822,5
GBR,AFG,19,20110819,26
USA,AFG,08,20130104,1
AFG,AFG,19,20080715,10
PAK,AFG,17,20110606,31
USA,AFG,05,20120502,326
PAK,AFG,11,20100131,12
GBR,AFG,06,20080609,5
PAK,AFG,06,20080805,9
USA,AFG,02,20110320,4
TJK,AFG,11,20011115,9
TJK,AFG,13,20030501,7
AFG,AFG,09,20140724,15
USA,AFG,19,20111115,18
RUS,AFG,07,20011019,3
AFG,AFG,09,20140225,2
AFG,AFG,04,20040811,5
AFG,AFG,09,20150120,8
GBR,AFG,17,20100708,4
PAK,AFG,03,20120609,2
AFG,AFG,19,20090909,54
JPN,AFG,05,20071122,2
IRN,AFG,03,20020602,2
CHN,AFG,04,20130620,4
AFG,AFG,19,20060820,7
AFG,AFG,05,20081125,3
USA,AFG,19,20140427,4
AFG,AFG,12,20060507,2
IND,AFG,01,20140520,20
USA,AFG,19,20141215,14
PAK,AFG,03,20070820,2
USA,AFG,07,20091009,14
USA,AFG,02,20130512,8
DEU,AFG,04,20020418,1
IRN,AFG,04,20140217,12
CAN,AFG,04,20080907,12
AFG,AFG,19,20091030,15
FRA,AFG,09,20011103,3
CYP,AFG,06,20060113,1
PAK,AFG,03,20061011,4
AFG,AFG,03,20110408,3
USA,AFG,03,20140611,30
PAK,AFG,03,20121124,3
USA,AFG,12,20110530,7
USA,AFG,08,20090921,14
QAT,AFG,19,20130618,6
AFG,AFG,01,20020128,4
ITA,AFG,04,20110714,5
USA,AFG,04,20140531,18
PAK,AFG,12,20120114,4
USA,AFG,08,20141206,8
USA,AFG,04,20100218,4
PGS,AFG,05,20070301,9
LBY,AFG,04,20110419,69
PAK,AFG,11,20080204,13
FRA,AFG,08,20110712,22
USA,AFG,14,20100908,6
AFG,AFG,12,20100403,2
WST,AFG,13,20091010,8
AFG,AFG,04,20040826,3
PAK,AFG,18,20040626,7
FRA,AFG,04,20120102,1
PAK,AFG,01,20120628,18
WST,AFG,04,20101108,8
AFG,AFG,08,20120910,24
TJK,AFG,01,20020702,10
AFG,AFG,15,20071106,2
DEU,AFG,13,20091024,7
AFG,AFG,04,20071118,1
GBR,AFG,19,20111003,1
AFG,AFG,11,20011126,2
AFG,AFG,03,20030417,8
PAK,AFG,17,20060626,7
CAN,AFG,03,20090610,9
JPN,AFG,08,20020501,5
JPN,AFG,12,20100907,18
GBR,AFG,03,20110830,7
USA,AFG,13,20080327,1
AFG,AFG,17,20031210,1
AFG,AFG,18,20100819,1
IRQ,AFG,04,20140916,2
GBR,AFG,04,20021104,6
AFG,AFG,04,20130408,7
AUS,AFG,04,20100901,18
PAK,AFG,01,20091204,64
GBR,AFG,03,20110707,11
USA,AFG,03,20120620,8
USA,AFG,03,20131122,28
KGZ,AFG,05,20090119,8
PAK,AFG,13,20080617,7
CHE,AFG,01,20130822,6
PAK,AFG,17,20121219,3
BGD,AFG,05,20020103,9
JPN,AFG,04,20020106,4
PAK,AFG,19,20120101,8
AFG,AFG,12,20101123,168
PAK,AFG,01,20110524,7
AFG,AFG,19,20070925,3
AFG,AFG,01,20080116,6
PAK,AFG,08,20131127,8
IRN,AFG,02,20131221,6
RUS,AFG,01,20100611,3
AFG,AFG,01,20120108,3
WST,AFG,04,20090316,13
USA,AFG,18,20110906,7
USA,AFG,04,20140529,3
AFG,AFG,18,20080719,6
FRA,AFG,07,20080725,6
AUS,AFG,15,20090820,2
IRN,AFG,03,20120505,3
MEX,AFG,04,20110220,6
GBR,AFG,07,20020103,1
AFG,AFG,09,20120709,8
PAK,AFG,04,20131030,6
USA,AFG,08,20141118,6
AFG,AFG,19,20110628,15
AFG,AFG,10,20070425,18
AFG,AFG,07,20140709,2
WST,AFG,15,20090910,12
USA,AFG,18,20121018,2
PAK,AFG,01,20091130,2
CAN,AFG,01,20100428,2
CAN,AFG,08,20091121,12
POL,AFG,01,20090519,1
USA,AFG,08,20131023,8
IRQ,AFG,04,20040530,4
AFG,AFG,06,20150218,1
JPN,AFG,04,20011119,2
GBR,AFG,18,20100205,8
AFG,AFG,02,20140909,46
GBR,AFG,19,20131007,4
RUS,AFG,19,20011004,5
RUS,AFG,03,20010924,2
AFG,AFG,13,20011124,4
GBR,AFG,04,20091217,5
USA,AFG,19,20140424,2
IRL,AFG,06,20060521,5
KGZ,AFG,04,20040210,2
RUS,AFG,03,20020828,3
USA,AFG,04,20101119,1
AFG,AFG,19,20110308,1
AFG,AFG,19,20110810,34
