Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
VEN,ABW,04,20140727,4
USA,ABW,09,20090325,2
COL,ABW,08,20120507,1
USA,ABW,04,20100604,198
PAK,AFG,10,20010616,9
GBR,AFG,08,20130402,2
AFG,AFG,18,20130312,10
PAK,AFG,19,20140706,20
AFG,AFG,11,20090803,6
WST,AFG,03,20101125,3
USA,AFG,19,20020109,7
IRQ,AFG,05,20090531,20
PAK,AFG,16,20081009,2
AFG,AFG,14,20130220,3
PAK,AFG,19,20120217,6
EUR,AFG,01,20011020,10
USA,AFG,13,20090819,1
AFG,AFG,04,20110807,103
AFG,AFG,01,20080418,10
AFG,AFG,07,20091202,5
IRQ,AFG,04,20061129,2
USA,AFG,04,20060406,14
PAK,AFG,17,20081207,2
AFG,AFG,04,20110503,18
AFG,AFG,04,20090510,1
BEL,AFG,07,20021030,7
USA,AFG,13,20130712,1
PAK,AFG,04,20141114,8
USA,AFG,05,20130808,12
ALB,AFG,04,20041028,1
PAK,AFG,03,20070103,1
WST,AFG,19,20110310,7
IRQ,AFG,11,20140715,2
PAK,AFG,08,20090403,6
GBR,AFG,17,20110924,2
FRA,AFG,07,20080323,4
PAK,AFG,04,20090401,19
EGY,AFG,12,20011014,9
CAN,AFG,16,20100220,21
AFG,AFG,19,20120512,219
AFG,AFG,11,20040913,9
USA,AFG,05,20100106,4
IRN,AFG,05,20101120,5
BGD,AFG,04,20140217,1
AFG,AFG,01,20111121,6
PAK,AFG,17,20060530,2
CAN,AFG,04,20101116,4
USA,AFG,19,20020110,2
AFG,AFG,04,20120129,4
CHN,AFG,19,20010920,9
ESP,AFG,01,20100826,1
FJI,AFG,01,20011119,18
PAK,AFG,04,20100510,2
SVK,AFG,06,20130206,10
AFG,AFG,01,20040316,8
SVK,AFG,02,20100714,12
GBR,AFG,08,20121125,6
PAK,AFG,02,20110729,2
USA,AFG,04,20051219,2
IRN,AFG,01,20111210,6
AFG,AFG,12,20080128,2
PAK,AFG,17,20081205,16
USA,AFG,04,20110713,6
PAK,AFG,01,20130304,1
AFG,AFG,19,20130906,4
BGD,AFG,04,20141114,3
LBY,AFG,19,20120905,8
WST,AFG,11,20120817,6
AFG,AFG,03,20100610,8
IND,AFG,01,20011008,10
USA,AFG,03,20090121,3
AFG,AFG,19,20080406,5
GBR,AFG,15,20060423,5
TJK,AFG,17,20030522,1
AFG,AFG,05,20140225,10
USA,AFG,15,20090403,4
USA,AFG,07,20070321,12
USA,AFG,11,20120616,18
PAK,AFG,04,20090211,14
PAK,AFG,03,20070103,2
PAK,AFG,19,20090731,2
AFG,AFG,01,20130610,10
KGZ,AFG,05,20141204,12
USA,AFG,04,20090226,1
PAK,AFG,05,20010525,10
AFG,AFG,16,20090328,14
AFG,AFG,01,20130415,14
USA,AFG,02,20130509,5
CAN,AFG,05,20100430,7
DEU,AFG,13,20131121,8
PAK,AFG,06,20020402,2
HUN,AFG,19,20100207,6
TUR,AFG,04,20131011,7
AFG,AFG,10,20060716,17
AFG,AFG,19,20130719,5
USA,AFG,17,20091031,1
USA,AFG,01,20090917,9
USA,AFG,09,20040823,6
PAK,AFG,18,20090801,4
AFG,AFG,18,20090120,6
PAK,AFG,04,20111002,14
DEU,AFG,07,20141003,2
AFG,AFG,05,20100423,1
PAK,AFG,04,20110420,5
PAK,AFG,04,20050816,7
WST,AFG,06,20120619,6
USA,AFG,17,20120228,21
CAN,AFG,01,20080427,1
PAK,AFG,09,20080730,9
IRN,AFG,02,20120611,7
BEL,AFG,18,20020228,1
IRN,AFG,05,20020613,2
EUR,AFG,01,20131123,8
TUR,AFG,04,20020212,7
SAU,AFG,01,20021117,7
USA,AFG,05,20120622,18
USA,AFG,04,20110906,5
JPN,AFG,07,20091109,20
AFG,AFG,06,20140604,6
AFG,AFG,19,20050805,2
AFG,AFG,03,20080822,1
AFG,AFG,10,20070216,4
AFG,AFG,02,20131213,5
DEU,AFG,04,20080130,15
ESP,AFG,03,20090910,16
AFG,AFG,19,20081101,3
USA,AFG,01,20140612,4
IRN,AFG,04,20150123,1
USA,AFG,09,20120525,9
PAK,AFG,07,20121012,1
USA,AFG,08,20150129,6
IRN,AFG,04,20030107,18
USA,AFG,05,20121225,3
AFG,AFG,04,20110521,9
CAN,AFG,01,20060805,2
FRA,AFG,01,20020412,2
FRA,AFG,07,20091123,12
AFG,AFG,13,20110127,4
FRA,AFG,04,20090811,5
USA,AFG,04,20141220,55
WST,AFG,17,20101223,2
TJK,AFG,01,20011201,1
USA,AFG,05,20081119,3
USA,AFG,09,20110502,6
AUS,AFG,01,20100913,10
SAU,AFG,03,20091022,4
ITA,AFG,04,20101008,1
PAK,AFG,07,20030823,6
