Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,17,20140704,40
USA,ABW,09,20110811,18
USA,ABW,04,20110831,6
GBR,ABW,13,20110923,6
USA,ABW,01,20120614,1
USA,ABW,09,20110915,6
AFG,AFG,17,20040512,18
CAN,AFG,02,20080120,5
VNM,AFG,19,20140808,8
POL,AFG,19,20091219,7
USA,AFG,16,20120313,10
PAK,AFG,04,20100114,3
AFG,AFG,07,20090111,36
USA,AFG,15,20070607,4
AFG,AFG,19,20120716,8
USA,AFG,02,20130917,10
USA,AFG,08,20101014,16
AFG,AFG,04,20070829,17
AFG,AFG,04,20090612,8
AFG,AFG,06,20050411,1
AFG,AFG,19,20111107,10
LKA,AFG,07,20121222,2
USA,AFG,04,20130111,19
USA,AFG,12,20090917,5
WST,AFG,06,20060701,7
QAT,AFG,04,20120310,87
TKM,AFG,19,20100227,2
USA,AFG,19,20100519,2
PAK,AFG,05,20140215,4
USA,AFG,03,20110816,6
IDN,AFG,17,20090420,1
DNK,AFG,01,20100907,4
KGZ,AFG,05,20090708,5
USA,AFG,02,20091007,2
TJK,AFG,04,20060613,1
LBY,AFG,08,20110403,1
GBR,AFG,04,20091219,3
PAK,AFG,04,20080908,7
DEU,AFG,19,20110531,3
AZE,AFG,04,20100204,5
AFG,AFG,01,20120702,13
AFG,AFG,02,20140313,5
TJK,AFG,11,20140622,2
UZB,AFG,13,20090824,1
CHN,AFG,01,20090918,5
TUR,AFG,04,20080419,2
IND,AFG,07,20011005,2
USA,AFG,01,20081210,10
DEU,AFG,12,20130511,6
USA,AFG,01,20090211,9
AFG,AFG,19,20110728,12
GBR,AFG,04,20090327,4
AFG,AFG,19,20040119,5
AFG,AFG,08,20000528,1
AFG,AFG,05,20090530,5
USA,AFG,19,20090725,24
AUS,AFG,17,20131001,8
PAK,AFG,07,20110323,1
GBR,AFG,17,20091208,7
USA,AFG,01,20130209,8
NZL,AFG,11,20110701,2
WST,AFG,02,20070214,7
AFG,AFG,06,20130812,2
LKA,AFG,04,20140523,2
AFG,AFG,03,20040329,2
USA,AFG,19,20101116,5
RUS,AFG,19,20110126,5
PAK,AFG,12,20140915,6
AFG,AFG,08,20060313,3
PAK,AFG,05,20091204,7
PAK,AFG,15,20091214,1
AFG,AFG,19,20080817,6
AFG,AFG,12,20130326,1
AUS,AFG,04,20140127,5
JPN,AFG,01,20090112,1
USA,AFG,01,20110821,9
GBR,AFG,04,20100712,1
RUS,AFG,03,20090330,2
USA,AFG,07,20100918,5
AFG,AFG,19,20070923,5
RUS,AFG,04,20080120,2
AFG,AFG,01,20090727,2
IRN,AFG,17,20051011,2
IRN,AFG,01,20140916,8
CAN,AFG,03,20091211,8
CAN,AFG,18,20091214,6
TJK,AFG,19,20141004,4
FRA,AFG,07,20100430,7
PAK,AFG,01,20140510,5
IND,AFG,04,20140527,6
TJK,AFG,03,20101216,1
QAT,AFG,03,20120126,6
PAK,AFG,04,20011014,1
USA,AFG,07,20100128,9
PAK,AFG,01,20090210,6
FRA,AFG,08,20120609,25
AFG,AFG,04,20140504,6
HRV,AFG,04,20040901,22
WST,AFG,03,20101114,1
USA,AFG,19,20140714,2
AFG,AFG,01,20071219,20
PAK,AFG,17,20090730,9
AFG,AFG,19,20110112,6
PAK,AFG,19,20091012,7
RUS,AFG,03,20091124,2
USA,AFG,07,20091225,40
SAU,AFG,04,20130321,6
PAK,AFG,04,20090323,1
AFG,AFG,11,20120801,1
PAK,AFG,03,20140518,18
ITA,AFG,08,20041110,1
USA,AFG,05,20131006,10
NLD,AFG,03,20060202,2
USA,AFG,05,20140924,6
IRN,AFG,04,20011117,8
GHA,AFG,06,20080709,2
PAK,AFG,19,20070214,1
USA,AFG,05,20110911,54
AFG,AFG,19,20140526,4
AFG,AFG,11,20040426,1
PAK,AFG,05,20121024,6
PAK,AFG,04,20080314,2
AFG,AFG,01,20080424,2
IRN,AFG,03,20130130,2
USA,AFG,11,20120305,50
PAK,AFG,02,20141106,12
IRN,AFG,01,20070613,22
PAK,AFG,19,20120718,2
WST,AFG,08,20120718,2
AFG,AFG,19,20140323,3
AFG,AFG,11,20140529,5
IRQ,AFG,04,20070903,2
PAK,AFG,16,20090521,3
IRN,AFG,04,20110304,4
TJK,AFG,01,20091118,5
RUS,AFG,19,20131203,10
USA,AFG,19,20141021,8
USA,AFG,03,20110613,4
AFG,AFG,19,20110711,3
JPN,AFG,04,20120626,1
AFG,AFG,06,20100620,2
USA,AFG,10,20130621,3
IRN,AFG,04,20040517,4
AFG,AFG,11,20070906,4
USA,AFG,05,20140808,4
PAK,AFG,06,20080606,2
AFG,AFG,05,20080811,4
IND,AFG,18,20110622,12
CHN,AFG,06,20141031,126
AFG,AFG,19,20110802,9
AFG,AFG,17,20140704,3
PHL,AFG,04,20041117,2
AFG,AFG,04,20080421,8
AFG,AFG,06,20091223,1
PAK,AFG,07,20141027,2
USA,AFG,07,20100218,3
PAK,AFG,17,20081001,2
PAK,AFG,08,20081014,2
WST,AFG,19,20070307,6
USA,AFG,05,20120526,1
ITA,AFG,03,20090404,2
WST,AFG,19,20101129,7
PAK,AFG,04,20131022,6
AFG,AFG,17,20080124,1
USA,AFG,11,20090828,15
GBR,AFG,19,20110123,1
