Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,04,20101122,39
VEN,ABW,05,20140728,7
USA,ABW,04,20111008,2
PAK,AFG,19,20090625,10
USA,AFG,04,20140820,1
USA,AFG,01,20050605,3
USA,AFG,07,20091031,3
IRN,AFG,01,20010717,4
AFG,AFG,19,20100125,20
AFG,AFG,12,20061128,1
PAK,AFG,17,20140223,3
PAK,AFG,04,20030821,4
PAK,AFG,03,20090402,5
AFG,AFG,04,20070721,24
AFG,AFG,01,20140330,26
PAK,AFG,01,20040320,6
RUS,AFG,05,20101210,2
AFG,AFG,06,20110108,6
CAN,AFG,07,20131117,8
PAK,AFG,02,20020117,2
CUB,AFG,04,20081221,1
USA,AFG,19,20120506,150
DEU,AFG,01,20100510,2
PAK,AFG,17,20130715,16
WST,AFG,04,20030817,9
AFG,AFG,04,20030818,5
IRQ,AFG,19,20071017,3
USA,AFG,11,20090828,4
AFG,AFG,19,20050612,1
USA,AFG,04,20011007,7
PAK,AFG,03,20080616,17
AFG,AFG,18,20100809,2
USA,AFG,01,20130821,5
SAU,AFG,01,20090621,7
AFG,AFG,03,20140712,2
AFG,AFG,01,20071230,8
AFG,AFG,09,20080125,1
USA,AFG,19,20121219,12
AFG,AFG,04,20130111,13
DEU,AFG,19,20050810,3
ESP,AFG,02,20051026,9
GBR,AFG,08,20091111,2
USA,AFG,16,20011114,2
USA,AFG,19,20120501,107
AFG,AFG,01,20120611,842
USA,AFG,18,20100827,13
RUS,AFG,08,20130811,4
NZL,AFG,16,20120903,2
PAK,AFG,10,20111019,25
CAN,AFG,01,20121113,20
ESP,AFG,04,20050312,7
AFG,AFG,11,20110117,2
AFG,AFG,19,20091029,5
USA,AFG,15,20091128,9
PAK,AFG,12,20110527,21
CAN,AFG,08,20110717,3
IRN,AFG,03,20070806,6
JPN,AFG,04,20111030,7
USA,AFG,18,20050523,2
FRA,AFG,03,20091027,7
AFG,AFG,04,20080326,28
USA,AFG,12,20120127,9
NGA,AFG,01,20091227,5
RUS,AFG,04,20130218,20
TKM,AFG,03,20020212,4
PAK,AFG,19,20080803,20
GBR,AFG,08,20141110,6
PAK,AFG,05,20070808,8
PAK,AFG,17,20040519,7
ALB,AFG,03,20101202,3
USA,AFG,05,20140919,10
GBR,AFG,15,20060723,3
GBR,AFG,02,20091201,25
USA,AFG,15,20091204,18
PAK,AFG,03,20011122,3
CZE,AFG,02,20081124,5
AFG,AFG,18,20070520,28
IRQ,AFG,04,20120719,8
PAK,AFG,04,20140525,2
ESP,AFG,06,20091102,7
USA,AFG,05,20131205,2
PAK,AFG,19,20100215,5
IRN,AFG,04,20081019,12
PAK,AFG,14,20130328,1
PAK,AFG,19,20070514,13
USA,AFG,12,20150130,6
GBR,AFG,04,20150204,6
AFG,AFG,04,20140404,5
MAR,AFG,14,20111101,4
AFG,AFG,01,20140715,14
GBR,AFG,07,20140729,6
DEU,AFG,02,20091027,28
IRQ,AFG,16,20100106,8
WST,AFG,19,20100213,153
IRN,AFG,04,20020719,1
USA,AFG,07,20081211,3
IRN,AFG,17,20081219,1
AZE,AFG,04,20141109,36
PAK,AFG,11,20141225,24
AFG,AFG,04,20090227,5
GBR,AFG,04,20070719,2
DEU,AFG,04,20140531,33
BEL,AFG,04,20090607,4
AFG,AFG,17,20101130,1
FRA,AFG,12,20101201,1
AFG,AFG,10,20071210,8
GBR,AFG,10,20071226,18
AFG,AFG,11,20090904,3
MYS,AFG,14,20120224,16
USA,AFG,07,20100511,2
GBR,AFG,01,20030731,1
IRQ,AFG,05,20100902,2
GBR,AFG,19,20140401,14
AFG,AFG,02,20111015,10
ESP,AFG,04,20101213,2
USA,AFG,03,20140907,10
PAK,AFG,19,20060902,21
PAK,AFG,19,20130523,8
AFG,AFG,08,20031121,7
AFG,AFG,16,20050716,3
USA,AFG,01,20120222,1
AFG,AFG,04,20131230,1
GBR,AFG,04,20020327,2
AFG,AFG,07,20110614,2
CHN,AFG,04,20140121,3
PAK,AFG,03,20110807,6
GBR,AFG,01,20141229,1
WST,AFG,01,20070716,2
USA,AFG,05,20070806,18
WST,AFG,19,20100903,1
WST,AFG,04,20120705,1
AFG,AFG,03,20140304,50
AFG,AFG,03,20031015,6
USA,AFG,03,20130810,1
IRQ,AFG,15,20120904,8
CAN,AFG,06,20091001,50
CAN,AFG,19,20060701,6
USA,AFG,01,20091119,10
PAK,AFG,03,20010924,5
AFG,AFG,11,20061202,2
GBR,AFG,19,20081030,9
USA,AFG,03,20130421,4
PAK,AFG,08,20100309,2
AFG,AFG,11,20030408,9
IRQ,AFG,04,20090112,1
RUS,AFG,11,20140524,10
QAT,AFG,19,20090902,2
AFG,AFG,11,20111216,6
DEU,AFG,10,20091105,8
USA,AFG,06,20140109,8
AFG,AFG,17,20110528,8
USA,AFG,08,20110829,14
GBR,AFG,19,20100701,2
SAU,AFG,04,20030603,1
IND,AFG,04,20130905,1
USA,AFG,19,20101015,4
FRA,AFG,06,20071003,7
AFG,AFG,05,20060203,4
DNK,AFG,04,20080505,2
AFG,AFG,04,20100102,8
AFG,AFG,01,20011026,6
FRA,AFG,15,20080820,10
AFG,AFG,12,20080906,6
USA,AFG,04,20120327,12
DEU,AFG,03,20020324,3
AFG,AFG,19,20120702,213
AFG,AFG,19,20100829,6
PAK,AFG,04,20130905,5
VNM,AFG,08,20140604,4
PAK,AFG,08,20101015,2
USA,AFG,03,20071002,1
DEU,AFG,04,20041226,1
AFG,AFG,19,20050606,2
USA,AFG,19,20140911,6
WST,AFG,04,20110324,2
