Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,17,20110811,3
BHS,ABW,05,20110815,2
ABW,ABW,01,20110812,4
ABW,ABW,01,20080703,9
BRB,ABW,04,20050516,4
USA,ABW,16,20051110,2
PAK,AFG,05,20120414,1
PAK,AFG,08,20131204,10
IND,AFG,04,20080803,2
AFG,AFG,19,20150116,19
GBR,AFG,19,20070909,4
AFG,AFG,03,20131126,6
USA,AFG,08,20120623,1
AFG,AFG,01,20060802,1
PAK,AFG,05,20111101,9
ITA,AFG,01,20101212,1
RUS,AFG,01,20141223,15
PAK,AFG,03,20091203,12
AFG,AFG,13,20120102,3
TUR,AFG,07,20110926,18
USA,AFG,01,20140430,34
GBR,AFG,11,20131207,5
TUR,AFG,05,20090316,8
PAK,AFG,07,20071006,4
PAK,AFG,12,20100729,8
USA,AFG,01,20091030,23
NLD,AFG,04,20100905,9
USA,AFG,04,20110128,1
USA,AFG,04,20130718,2
USA,AFG,10,20120314,9
WST,AFG,07,20080925,5
PAK,AFG,14,20090830,2
AFG,AFG,19,20100504,5
AFG,AFG,05,20090104,3
RUS,AFG,19,20140829,4
AFG,AFG,19,20141022,15
PAK,AFG,04,20010929,4
USA,AFG,04,20070904,2
AFG,AFG,19,20140622,1
USA,AFG,16,20140708,8
USA,AFG,03,20131017,3
RUS,AFG,04,20040506,3
AFG,AFG,17,20061224,4
DEU,AFG,01,20090817,5
PAK,AFG,13,20120315,5
AFG,AFG,08,20141026,10
USA,AFG,19,20081017,4
USA,AFG,02,20100722,1
USA,AFG,03,20131125,158
AFG,AFG,08,20140324,4
USA,AFG,05,20101209,61
WST,AFG,03,20090803,7
PAK,AFG,03,20091102,7
USA,AFG,19,20071110,16
USA,AFG,05,20150128,3
PAK,AFG,04,20140622,1
IRN,AFG,03,20060908,8
PAK,AFG,04,20090510,16
PAK,AFG,05,20080826,4
AFG,AFG,19,20080501,15
PAK,AFG,12,20031022,2
PAK,AFG,05,20130215,2
JPN,AFG,05,20011205,11
WST,AFG,15,20101228,4
USA,AFG,12,20040614,11
PAK,AFG,09,20111109,2
IRQ,AFG,07,20070611,3
PAK,AFG,04,20100116,1
AFG,AFG,19,20090807,6
QAT,AFG,04,20130324,90
PAK,AFG,04,20090221,1
USA,AFG,03,20090511,6
TJK,AFG,06,20020316,2
AFG,AFG,12,20100221,7
AFG,AFG,08,20110701,45
PAK,AFG,04,20090816,6
TJK,AFG,01,20011114,3
USA,AFG,05,20110215,3
USA,AFG,05,20040104,2
USA,AFG,05,20131022,12
AUS,AFG,03,20020517,7
AFG,AFG,19,20140217,10
USA,AFG,04,20140403,8
SAU,AFG,04,20130621,3
USA,AFG,19,20101114,63
RUS,AFG,08,20020908,1
AFG,AFG,07,20141202,4
USA,AFG,13,20100629,1
AFG,AFG,05,20011221,5
IRN,AFG,08,20011211,2
IRN,AFG,02,20030113,1
RUS,AFG,04,20020610,9
CZE,AFG,07,20060110,4
GBR,AFG,04,20100113,6
USA,AFG,01,20140513,2
AFG,AFG,01,20051211,3
DEU,AFG,19,20091127,44
PAK,AFG,12,20100719,43
AFG,AFG,10,20070702,16
WST,AFG,13,20060615,8
NOR,AFG,19,20141208,3
TUN,AFG,04,20000213,8
QAT,AFG,03,20130204,2
USA,AFG,04,20130707,20
IRN,AFG,12,20130511,6
USA,AFG,04,20140128,3
AFG,AFG,19,20041207,1
IRN,AFG,01,20010917,5
AFG,AFG,08,20130918,4
USA,AFG,05,20141228,138
RUS,AFG,05,20120827,2
AFG,AFG,04,20140105,3
RUS,AFG,05,20060813,6
PAK,AFG,11,20100419,8
AFG,AFG,04,20120201,37
AFG,AFG,01,20031024,4
USA,AFG,01,20140525,50
PAK,AFG,04,20021117,3
PAK,AFG,02,20140705,7
USA,AFG,18,20110308,10
AFG,AFG,01,20091227,7
TJK,AFG,04,20140113,1
AUS,AFG,04,20070802,5
USA,AFG,04,20080129,37
ARE,AFG,07,20020219,7
ESP,AFG,15,20101014,85
PAK,AFG,04,20120611,8
AFG,AFG,16,20100801,9
PAK,AFG,11,20091122,12
AFG,AFG,05,20111027,7
AFG,AFG,19,20120321,9
TKM,AFG,03,20080411,2
AFG,AFG,04,20131012,2
USA,AFG,06,20120824,2
IRQ,AFG,04,20090316,2
AUS,AFG,02,20080218,8
PAK,AFG,11,20131105,1
IRQ,AFG,19,20060317,8
USA,AFG,05,20090411,3
PAK,AFG,06,20030318,3
GBR,AFG,08,20080310,2
AFG,AFG,18,20100326,1
SAU,AFG,17,20120201,2
PAK,AFG,04,20070117,2
USA,AFG,02,20090123,5
CHN,AFG,02,20011113,7
TUR,AFG,03,20070422,8
USA,AFG,04,20121122,4
USA,AFG,16,20091123,6
PAK,AFG,19,20140217,1
AFG,AFG,19,20030529,1
IRQ,AFG,19,20120828,6
MYS,AFG,04,20070614,2
GBR,AFG,04,20101202,10
QAT,AFG,11,20120924,4
AUS,AFG,01,20080425,2
AFG,AFG,05,20100920,70
WST,AFG,05,20130618,7
RUS,AFG,04,20140328,1
USA,AFG,09,20130321,16
DEU,AFG,02,20060821,2
PAK,AFG,04,20140927,4
AFG,AFG,11,20080829,9
AFG,AFG,17,20070808,15
IRN,AFG,04,20100423,5
IRQ,AFG,01,20030921,4
AFG,AFG,17,20140826,1
GBR,AFG,05,20090216,2
