Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
NZL,ABW,03,20150212,2
USA,ABW,07,20100906,16
ABW,ABW,04,20110820,8
USA,ABW,04,20110817,188
WST,AFG,13,20111113,4
USA,AFG,01,20140725,1
ISR,AFG,04,20110114,5
AUS,AFG,15,20131029,8
USA,AFG,01,20080912,1
IRQ,AFG,04,20120516,204
IRN,AFG,06,20100423,4
AFG,AFG,04,20090331,12
AUS,AFG,19,20100909,10
PAK,AFG,11,20140324,8
IRN,AFG,12,20101026,4
AFG,AFG,11,20140625,1
PAK,AFG,14,20121222,10
TKM,AFG,04,20110201,3
AFG,AFG,19,20120112,3
WST,AFG,01,20120120,99
WST,AFG,19,20100809,13
AFG,AFG,19,20090421,13
EGY,AFG,04,20071011,4
PAK,AFG,05,20140725,4
USA,AFG,19,20121207,11
SAU,AFG,05,20140926,12
CAN,AFG,19,20060422,2
GBR,AFG,06,20091216,5
IRN,AFG,02,20080624,1
USA,AFG,04,20080730,4
USA,AFG,19,20110523,14
PAK,AFG,05,20100115,3
MEX,AFG,17,20140503,16
IRN,AFG,05,20140506,4
RUS,AFG,08,20140707,4
AFG,AFG,08,20140707,2
AFG,AFG,02,20080527,14
USA,AFG,04,20131121,50
DEU,AFG,02,20080623,6
WST,AFG,19,20080623,7
AFG,AFG,01,20100214,4
AFG,AFG,19,20100810,3
AFG,AFG,17,20031015,7
USA,AFG,04,20150121,2
DEU,AFG,08,20130918,2
BGR,AFG,07,20140610,4
USA,AFG,04,20071013,4
PAK,AFG,17,20071128,4
PAK,AFG,01,20080123,9
AFG,AFG,02,20120110,1
DNK,AFG,04,20120117,8
PAK,AFG,15,20091211,42
USA,AFG,19,20130225,2
IND,AFG,08,20130227,2
IRQ,AFG,04,20080714,6
IRQ,AFG,04,20060926,1
AFG,AFG,18,20130612,24
RUS,AFG,18,20141115,1
IRN,AFG,04,20030125,5
USA,AFG,17,20141212,1
MNG,AFG,03,20040315,4
TKM,AFG,04,20140814,7
IRN,AFG,17,20010922,4
AFG,AFG,19,20060911,5
PAK,AFG,11,20090203,1
USA,AFG,03,20090203,15
ARE,AFG,07,20120618,1
IRQ,AFG,03,20130724,2
AFG,AFG,05,20130806,3
USA,AFG,04,20140511,8
BHR,AFG,04,20040602,6
VNM,AFG,02,20090918,4
PAK,AFG,17,20060718,14
RUS,AFG,03,20090314,1
AUS,AFG,04,20101025,1
PAK,AFG,04,20071025,2
PAK,AFG,17,20050701,3
ITA,AFG,04,20060329,27
USA,AFG,19,20080713,7
AFG,AFG,01,20140221,42
AFG,AFG,19,20070605,5
USA,AFG,01,20111027,32
SAU,AFG,11,20140625,8
USA,AFG,01,20090813,7
USA,AFG,04,20020218,7
KGZ,AFG,01,20120216,1
AFG,AFG,02,20120408,3
IRN,AFG,02,20141126,2
USA,AFG,03,20140116,8
USA,AFG,02,20140222,6
AZE,AFG,07,20130828,2
AFG,AFG,11,20090603,13
AFG,AFG,19,20110131,4
AFG,AFG,11,20091006,9
DEU,AFG,03,20120127,10
PAK,AFG,04,20060225,2
AFG,AFG,17,20091213,45
KGZ,AFG,17,20100512,2
USA,AFG,19,20090102,18
AFG,AFG,13,20070410,2
USA,AFG,16,20130711,18
USA,AFG,05,20140525,1
IRQ,AFG,03,20050224,5
USA,AFG,05,20111110,108
USA,AFG,19,20110129,5
AFG,AFG,11,20020214,2
AFG,AFG,01,20080821,4
USA,AFG,19,20100218,2
SAU,AFG,04,20090202,3
EST,AFG,15,20130627,4
USA,AFG,07,20090330,7
PAK,AFG,04,20070623,7
LBN,AFG,19,20120711,4
SYR,AFG,17,20130804,1
IRQ,AFG,03,20070918,2
AFG,AFG,07,20090916,4
EUR,AFG,11,20001130,18
USA,AFG,01,20080328,14
AFG,AFG,18,20130305,16
LBN,AFG,04,20011010,2
USA,AFG,03,20110511,4
RUS,AFG,03,20080927,2
IRN,AFG,05,20021228,4
BEL,AFG,03,20070110,4
AUS,AFG,08,20070409,3
USA,AFG,06,20070608,2
PAK,AFG,01,20130731,20
HRV,AFG,04,20040901,5
USA,AFG,19,20101121,2
POL,AFG,18,20111221,2
USA,AFG,08,20121214,40
DEU,AFG,02,20090923,3
USA,AFG,03,20091206,1
WST,AFG,02,20130204,1
JPN,AFG,06,20011024,1
AFG,AFG,18,20061016,19
CHN,AFG,01,20100223,4
AFG,AFG,02,20070301,5
PAK,AFG,02,20120627,1
USA,AFG,19,20100802,28
KOR,AFG,04,20070808,1
USA,AFG,01,20140314,4
USA,AFG,19,20140518,2
AFG,AFG,04,20140604,32
PAK,AFG,03,20121119,3
IRN,AFG,19,20001221,2
PAK,AFG,01,20140725,6
USA,AFG,02,20130114,4
WST,AFG,07,20120127,9
PAK,AFG,03,20120201,16
USA,AFG,02,20020215,1
KWT,AFG,04,20120317,7
AFG,AFG,11,20141010,12
PAK,AFG,11,20141019,1
USA,AFG,04,20100204,9
PAK,AFG,04,20081222,6
TUR,AFG,04,20100825,1
TJK,AFG,19,20090422,5
PAK,AFG,03,20140405,2
PAK,AFG,19,20090614,24
AFG,AFG,11,20111110,48
IRN,AFG,05,20120203,1
USA,AFG,19,20110322,2
PAK,AFG,04,20091106,3
USA,AFG,02,20011125,3
AFG,AFG,04,20080723,4
AFG,AFG,19,20120222,6
AFG,AFG,19,20120223,9
AFG,AFG,19,20110427,63
AFG,AFG,02,20141023,10
AFG,AFG,19,20060810,75
GBR,AFG,06,20081210,20
RUS,AFG,08,20140213,3
AFG,AFG,19,20120626,1
AFG,AFG,06,20120809,12
FRA,AFG,08,20101027,7
PAK,AFG,19,20130926,5
PAK,AFG,17,20131010,2
RUS,AFG,02,20131025,4
USA,AFG,19,20130115,1
GBR,AFG,04,20130121,10
SOM,AFG,04,20080430,6
RUS,AFG,10,20110328,2
PAK,AFG,01,20110331,5
USA,AFG,06,20091127,5
PAK,AFG,03,20120222,3
KGZ,AFG,04,20020603,4
DEU,AFG,02,20030210,4
TUR,AFG,07,20140218,2
PAK,AFG,19,20140220,7
USA,AFG,04,20141228,6
TJK,AFG,05,20090327,2
WST,AFG,12,20040625,7
USA,AFG,04,20101004,12
USA,AFG,04,20140710,2
USA,AFG,01,20131007,7
AFG,AFG,13,20090820,13
USA,AFG,08,20140731,8
EUR,AFG,12,20140822,10
USA,AFG,08,20060728,1
USA,AFG,03,20091227,6
USA,AFG,17,20100221,19
DEU,AFG,01,20070721,27
PAK,AFG,19,20070728,4
AFG,AFG,01,20031112,10
CHN,AFG,19,20120918,12
TJK,AFG,11,20140613,4
AFG,AFG,18,20090603,2
USA,AFG,19,20090725,8
WST,AFG,03,20140905,15
PAK,AFG,05,20141027,6
VNM,AFG,07,20100215,2
TUN,AFG,11,20141112,2
IRQ,AFG,06,20090107,5
PAK,AFG,03,20130622,1
PAK,AFG,07,20030705,1
AFG,AFG,19,20130908,1
AFG,AFG,02,20101014,20
AFG,AFG,17,20090701,2
PAK,AFG,06,20140623,2
PAK,AFG,19,20101206,12
USA,AFG,05,20101216,92
AFG,AFG,08,20130930,1
GBR,AFG,03,20080330,6
AFG,AFG,19,20060531,1
USA,AFG,01,20091217,2
USA,AFG,12,20120222,2
USA,AFG,07,20110809,7
AFG,AFG,17,20110831,8
IRQ,AFG,19,20100616,4
USA,AFG,01,20031128,1
BGR,AFG,03,20040411,2
USA,AFG,01,20101028,5
