Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
AFG,AFG,19,20130504,16
CAN,AFG,04,20080102,2
DEU,AFG,04,20070301,16
AFG,AFG,03,20100426,1
USA,AFG,04,20080520,5
WST,AFG,17,20060721,5
USA,AFG,01,20130915,2
PAK,AFG,19,20140101,6
PAK,AFG,18,20091017,27
USA,AFG,05,20070730,6
USA,AFG,04,20130413,10
TKM,AFG,16,20060125,8
FRA,AFG,07,20080822,1
USA,AFG,10,20131025,8
AFG,AFG,05,20121004,4
PAK,AFG,01,20090409,1
PAK,AFG,04,20140622,7
BTN,AFG,04,20110418,1
AFG,AFG,18,20090209,21
AFG,AFG,04,20130624,11
YEM,AFG,04,20140912,4
AUS,AFG,03,20140928,3
USA,AFG,07,20060908,2
USA,AFG,07,20110708,3
PAK,AFG,06,20050623,3
PAK,AFG,04,20100807,2
USA,AFG,12,20000406,6
USA,AFG,07,20090304,14
IRN,AFG,17,20120519,12
PAK,AFG,07,20090808,14
AFG,AFG,04,20100905,10
USA,AFG,19,20100126,45
CAN,AFG,05,20140605,6
EUR,AFG,04,20150205,12
PAK,AFG,05,20140909,11
TUN,AFG,04,20000210,3
AFG,AFG,16,20100623,2
PAK,AFG,01,20110704,1
ITA,AFG,08,20030202,2
PAK,AFG,04,20010210,1
SYR,AFG,12,20120720,18
IRQ,AFG,19,20071024,3
USA,AFG,11,20130808,2
AFG,AFG,13,20080214,2
PAK,AFG,17,20030614,5
USA,AFG,11,20120225,16
USA,AFG,19,20130417,3
USA,AFG,02,20061004,7
AFG,AFG,04,20080409,11
AFG,AFG,19,20051117,2
PAK,AFG,04,20110607,5
USA,AFG,03,20090929,3
FRA,AFG,04,20110122,1
JOR,AFG,18,20120509,4
GBR,AFG,19,20080212,4
USA,AFG,05,20010920,2
USA,AFG,02,20101111,2
AFG,AFG,03,20101014,524
WST,AFG,11,20120112,9
NOR,AFG,08,20110803,3
WST,AFG,11,20110917,5
WST,AFG,05,20071213,9
USA,AFG,13,20010927,18
IRQ,AFG,08,20090902,7
AFG,AFG,19,20110910,351
PAK,AFG,01,20130810,8
PAK,AFG,18,20041013,2
USA,AFG,04,20030512,4
AFG,AFG,10,20130808,43
AFG,AFG,11,20060502,5
DEU,AFG,04,20050525,7
CAN,AFG,03,20070504,1
AUS,AFG,05,20131216,28
WST,AFG,18,20111125,18
USA,AFG,03,20021130,2
IRN,AFG,17,20070706,1
AFG,AFG,17,20130408,18
USA,AFG,06,20110819,2
AFG,AFG,04,20060820,4
AFG,AFG,07,20140303,96
GBR,AFG,02,20110504,2
USA,AFG,02,20081230,18
AFG,AFG,11,20140222,4
USA,AFG,03,20140813,14
IRQ,AFG,01,20060328,2
USA,AFG,05,20110222,10
TUR,AFG,17,20000908,1
USA,AFG,02,20100128,5
AFG,AFG,09,20101202,1
ITA,AFG,04,20050309,2
NLD,AFG,08,20100625,2
AUS,AFG,13,20011101,8
