Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,10,20111122,2
ITA,ABW,03,20110429,4
USA,ABW,04,20140416,6
USA,ABW,04,20140121,5
VEN,ABW,08,20140727,18
USA,AFG,05,20130804,4
AFG,AFG,03,20120922,8
AUS,AFG,07,20100603,8
ZAF,AFG,02,20011010,2
UZB,AFG,13,20020618,2
AFG,AFG,03,20110625,9
CAN,AFG,01,20140701,2
PAK,AFG,05,20121021,10
USA,AFG,11,20100302,5
AFG,AFG,05,20120610,5
AFG,AFG,19,20130924,8
SAU,AFG,08,20091031,7
USA,AFG,16,20140711,4
RUS,AFG,12,20091205,1
PAK,AFG,04,20130914,4
AFG,AFG,05,20140203,2
USA,AFG,17,20030513,1
AFG,AFG,03,20120221,1
ITA,AFG,18,20071106,32
PAK,AFG,15,20060910,7
AFG,AFG,04,20121116,8
IND,AFG,19,20140119,3
TUR,AFG,04,20100101,6
AFG,AFG,06,20020207,3
AFG,AFG,17,20140628,3
IRN,AFG,07,20131018,30
PAK,AFG,03,20131006,6
DEU,AFG,19,20090429,2
AFG,AFG,05,20080720,2
DEU,AFG,05,20090424,21
USA,AFG,06,20090812,1
PAK,AFG,19,20111005,2
AFG,AFG,07,20140201,4
AFG,AFG,07,20030722,2
AFG,AFG,19,20140527,14
CAN,AFG,05,20070503,6
USA,AFG,08,20101221,4
AFG,AFG,02,20020624,5
IRQ,AFG,04,20080513,3
WST,AFG,06,20081206,2
WST,AFG,02,20130104,14
PAK,AFG,18,20090503,6
PAK,AFG,05,20150208,8
WST,AFG,05,20120418,145
USA,AFG,19,20140821,6
USA,AFG,19,20080909,10
USA,AFG,14,20100129,1
GBR,AFG,19,20141030,12
PAK,AFG,11,20090812,4
AFG,AFG,19,20141208,4
AFG,AFG,04,20020321,6
PAK,AFG,17,20100217,10
USA,AFG,12,20111108,5
GBR,AFG,07,20030811,10
AFG,AFG,05,20131012,2
DEU,AFG,04,20021221,3
CHN,AFG,01,20070403,2
IRN,AFG,01,20041016,2
PAK,AFG,19,20070813,6
GBR,AFG,19,20011218,1
CAN,AFG,19,20090216,2
USA,AFG,01,20090831,3
USA,AFG,04,20110806,4
USA,AFG,18,20070414,2
PAK,AFG,04,20111102,18
AFG,AFG,17,20140605,2
WST,AFG,19,20101030,8
PAK,AFG,03,20140410,4
AFG,AFG,09,20121206,4
USA,AFG,15,20090606,4
AFG,AFG,11,20140215,16
USA,AFG,07,20141119,4
IDN,AFG,01,20011005,2
USA,AFG,01,20120907,12
USA,AFG,04,20091201,21
TUR,AFG,04,20030728,1
DEU,AFG,05,20120519,14
KGZ,AFG,02,20091126,9
PAK,AFG,17,20090712,6
PAK,AFG,19,20070703,2
AFG,AFG,19,20091010,18
CAN,AFG,16,20080128,30
AFG,AFG,04,20031112,2
AUS,AFG,03,20010807,1
SWE,AFG,08,20101211,2
ITA,AFG,01,20130724,2
NPL,AFG,04,20070727,1
AFG,AFG,17,20091027,2
CAN,AFG,08,20140501,1
USA,AFG,04,20061115,2
IND,AFG,11,20110518,3
USA,AFG,04,20111216,2
CAN,AFG,01,20080722,4
USA,AFG,07,20080831,4
AFG,AFG,04,20120913,7
QAT,AFG,05,20150202,4
WST,AFG,19,20130401,20
PAK,AFG,12,20070813,7
PAK,AFG,01,20000528,2
FRA,AFG,04,20110418,68
CAN,AFG,07,20130829,1
EGY,AFG,11,20140622,1
USA,AFG,07,20080110,8
USA,AFG,04,20120530,7
USA,AFG,04,20120403,2
AUS,AFG,03,20110709,2
USA,AFG,16,20030927,3
PAK,AFG,01,20091027,16
AFG,AFG,13,20070618,3
USA,AFG,01,20130701,18
USA,AFG,12,20080719,5
GBR,AFG,17,20121228,1
AFG,AFG,04,20091103,5
AFG,AFG,02,20031217,2
USA,AFG,04,20020704,3
USA,AFG,06,20090326,35
USA,AFG,04,20110110,2
PAK,AFG,03,20020216,2
USA,AFG,19,20101221,9
AFG,AFG,08,20110725,2
AFG,AFG,04,20130926,3
AFG,AFG,06,20121228,2
CAN,AFG,04,20030812,2
AFG,AFG,04,20120125,9
USA,AFG,07,20110903,10
LTU,AFG,05,20120320,4
AFG,AFG,04,20140217,12
EGY,AFG,04,20000416,4
WST,AFG,19,20070126,32
FRA,AFG,18,20080802,12
USA,AFG,10,20140828,1
IRN,AFG,04,20100126,21
WST,AFG,08,20070519,5
WST,AFG,05,20101116,10
RUS,AFG,15,20100613,2
USA,AFG,07,20100706,1
IDN,AFG,04,20110915,4
AFG,AFG,01,20100130,22
PAK,AFG,17,20011008,1
AFG,AFG,06,20090514,2
GBR,AFG,07,20020218,5
AFG,AFG,19,20130612,2
USA,AFG,02,20110517,30
NGA,AFG,11,20140916,3
DEU,AFG,16,20020206,1
USA,AFG,01,20140722,4
USA,AFG,14,20110403,10
AFG,AFG,16,20071224,30
PAK,AFG,01,20081116,9
HTI,AFG,12,20100114,4
GBR,AFG,07,20070227,10
IRQ,AFG,04,20090114,6
MHL,AFG,04,20120711,1
USA,AFG,05,20110125,8
PAK,AFG,19,20060311,17
DNK,AFG,04,20091203,4
PAK,AFG,04,20110312,9
USA,AFG,19,20140422,10
PAK,AFG,17,20120812,4
WST,AFG,18,20070814,5
PAK,AFG,08,20110722,3
WST,AFG,10,20140204,10
AFG,AFG,19,20081103,25
FRA,AFG,11,20120120,8
PAK,AFG,04,20090209,12
AFG,AFG,03,20080726,31
PAK,AFG,19,20090828,16
PAK,AFG,01,20120914,2
AFG,AFG,07,20040811,1
WST,AFG,19,20141124,216
PAK,AFG,17,20060607,1
GBR,AFG,06,20080621,11
USA,AFG,19,20080429,9
USA,AFG,05,20100610,9
PAK,AFG,19,20130504,2
AFG,AFG,19,20090712,1
USA,AFG,02,20131206,6
IND,AFG,03,20130515,1
AFG,AFG,17,20060731,2
AFG,AFG,03,20140728,2
PAK,AFG,01,20111128,5
AUS,AFG,08,20140601,7
JOR,AFG,04,20020228,3
AFG,AFG,02,20071016,5
AFG,AFG,04,20091125,25
AFG,AFG,04,20040522,9
IRN,AFG,02,20120215,8
USA,AFG,19,20110809,36
AFG,AFG,12,20031110,4
AFG,AFG,15,20080805,1
AFG,AFG,19,20090304,33
CAN,AFG,04,20120129,1
USA,AFG,01,20090923,1
CAN,AFG,17,20080619,1
AFG,AFG,19,20080131,9
PAK,AFG,01,20110302,5
PAK,AFG,17,20130911,4
USA,AFG,08,20140527,44
USA,AFG,04,20090224,4
USA,AFG,11,20110814,1
USA,AFG,09,20020108,5
USA,AFG,05,20131213,20
USA,AFG,11,20060526,2
USA,AFG,18,20071006,3
PAK,AFG,19,20070525,1
USA,AFG,19,20100321,5
DEU,AFG,04,20020206,5
USA,AFG,11,20120917,8
PAK,AFG,18,20100107,1
WST,AFG,07,20110819,8
AFG,AFG,19,20090303,2
AFG,AFG,19,20110105,3
RUS,AFG,19,20131006,1
AFG,AFG,01,20090227,4
PAK,AFG,07,20080311,6
EUR,AFG,05,20120520,2
AFG,AFG,03,20050820,2
FRA,AFG,18,20120121,8
RUS,AFG,06,20101030,14
USA,AFG,07,20111005,2
AFG,AFG,04,20140916,4
AFG,AFG,19,20140129,162
AUS,AFG,11,20120620,7
LBY,AFG,02,20110602,6
JPN,AFG,04,20110610,3
AFG,AFG,04,20050503,3
PAK,AFG,01,20141010,4
USA,AFG,08,20091226,4
USA,AFG,12,20021222,7
AFG,AFG,04,20120328,3
USA,AFG,19,20070619,6
USA,AFG,04,20110103,4
IRQ,AFG,01,20110224,9
AFG,AFG,02,20100131,2
USA,AFG,15,20100115,1
AFG,AFG,19,20030226,2
AFG,AFG,19,20140725,38
WST,AFG,02,20100113,9
TJK,AFG,04,20020721,1
PAK,AFG,08,20140214,18
IRN,AFG,17,20140202,10
IRN,AFG,17,20100406,7
CHN,AFG,05,20150216,6
USA,AFG,08,20101009,15
USA,AFG,19,20080709,10
AFG,AFG,17,20060316,4
CAN,AFG,09,20140311,30
WST,AFG,04,20060927,9
NOR,AFG,04,20120912,2
TKM,AFG,03,20141011,3
WST,AFG,08,20131007,8
GBR,AFG,15,20060614,4
USA,AFG,03,20120313,15
IRN,AFG,05,20070605,1
SAS,AFG,04,20140425,8
ZWE,AFG,04,20091029,6
TJK,AFG,19,20070817,2
PAK,AFG,01,20121228,3
USA,AFG,11,20090518,5
PAK,AFG,04,20090601,1
PAK,AFG,16,20010406,16
USA,AFG,08,20130810,6
USA,AFG,07,20071214,25
AFG,AFG,19,20110516,4
