Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
ISR,ABW,01,20040816,2
CUB,ABW,05,20090318,2
NLD,ABW,11,20100907,189
USA,ABW,04,20120113,10
GBR,AFG,17,20011005,5
PAK,AFG,01,20080426,1
AFG,AFG,09,20060331,6
IRQ,AFG,19,20111217,9
NLD,AFG,19,20140319,20
AFG,AFG,01,20130105,6
USA,AFG,19,20011007,14
SWE,AFG,01,20090831,28
USA,AFG,04,20110831,72
AFG,AFG,11,20110814,10
AFG,AFG,03,20140406,5
AFG,AFG,16,20110307,2
USA,AFG,18,20070528,9
USA,AFG,15,20111220,2
USA,AFG,13,20090325,1
TUR,AFG,09,20070117,4
AFG,AFG,19,20111028,3
PAK,AFG,17,20091201,1
EUR,AFG,04,20131216,2
AFG,AFG,19,20020905,1
AUS,AFG,04,20010904,4
USA,AFG,19,20031201,6
AFG,AFG,18,20120502,10
USA,AFG,19,20011204,3
PAK,AFG,11,20090604,11
FRA,AFG,05,20030627,2
IRN,AFG,05,20021030,2
GBR,AFG,08,20100706,20
EUR,AFG,04,20060103,9
LKA,AFG,01,20120825,10
PAK,AFG,03,20120817,8
IRQ,AFG,01,20090227,6
TUR,AFG,03,20100815,28
PAK,AFG,13,20131102,2
GBR,AFG,03,20091014,5
WST,AFG,08,20120528,18
FRA,AFG,04,20080311,6
GBR,AFG,13,20091006,45
TKM,AFG,03,20021111,4
IDN,AFG,17,20020510,2
PAK,AFG,19,20040324,18
NOR,AFG,07,20120404,1
AFG,AFG,04,20060131,6
USA,AFG,05,20120117,1
DEU,AFG,05,20080201,1
TUR,AFG,08,20090910,5
USA,AFG,05,20101231,2
SAU,AFG,03,20091102,15
IRN,AFG,13,20111123,1
SAS,AFG,06,20110618,9
FRA,AFG,02,20080602,10
USA,AFG,02,20100630,4
DEU,AFG,04,20030209,1
AUS,AFG,01,20110307,10
AFG,AFG,11,20111205,7
FRA,AFG,01,20080928,1
PAK,AFG,03,20141223,1
PAK,AFG,01,20070111,12
USA,AFG,03,20040727,1
SAU,AFG,01,20090811,2
PAK,AFG,18,20080419,9
USA,AFG,07,20091031,32
IRN,AFG,04,20120824,10
AFG,AFG,07,20120507,2
AUS,AFG,01,20131002,2
CAN,AFG,04,20080123,2
USA,AFG,19,20130808,12
AFG,AFG,11,20031002,4
WST,AFG,17,20121224,1
AFG,AFG,08,20090515,9
AFG,AFG,01,20130128,10
PAK,AFG,05,20140226,12
AFG,AFG,01,20090529,2
DEU,AFG,03,20080816,9
USA,AFG,05,20111228,18
PAK,AFG,02,20090328,5
PAK,AFG,14,20030708,2
USA,AFG,04,20090322,1
HRV,AFG,08,20111122,3
USA,AFG,04,20090506,8
AFG,AFG,08,20091126,19
AFG,AFG,05,20100112,4
CZE,AFG,19,20110531,1
AFG,AFG,19,20111216,5
ARE,AFG,12,20110919,2
WST,AFG,14,20131124,3
AFG,AFG,10,20011116,23
AFG,AFG,18,20130430,10
AFG,AFG,11,20120314,12
IRN,AFG,08,20020102,2
DEU,AFG,05,20040826,5
AFG,AFG,09,20070428,10
USA,AFG,19,20141220,15
WST,AFG,11,20110429,1
AFG,AFG,04,20140526,1
GBR,AFG,01,20120423,2
PAK,AFG,02,20060517,1
CAN,AFG,05,20030610,9
TKM,AFG,03,20001211,6
AZE,AFG,05,20110320,5
AFG,AFG,10,20101115,8
DEU,AFG,05,20120130,1
EUR,AFG,01,20120522,2
IRN,AFG,05,20130516,3
USA,AFG,01,20060923,47
USA,AFG,12,20100813,9
GBR,AFG,15,20150129,2
MKD,AFG,05,20081219,9
AFG,AFG,01,20030607,1
AFG,AFG,19,20060405,2
