Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
VEN,ABW,05,20140726,8
NLD,ABW,04,20111127,1
USA,ABW,09,20110915,6
USA,ABW,10,20111130,2
NLD,ABW,02,20091220,1
USA,ABW,17,20110809,2
JAM,ABW,03,20140701,10
USA,ABW,04,20110824,3
DEU,AFG,04,20100722,3
PAK,AFG,02,20140207,5
AFG,AFG,04,20140725,5
AUS,AFG,17,20130712,2
AFG,AFG,19,20130812,11
PAK,AFG,03,20090311,9
AFG,AFG,01,20090611,48
FRA,AFG,04,20080403,12
IRQ,AFG,04,20120614,5
CAS,AFG,13,20130807,10
RUS,AFG,04,20021001,3
AFG,AFG,12,20110513,1
CHN,AFG,02,20101104,7
CAN,AFG,14,20091231,6
BGR,AFG,17,20150115,8
SYR,AFG,01,20140923,4
PAK,AFG,18,20091230,61
AFG,AFG,01,20000528,2
AFG,AFG,09,20080614,35
PAK,AFG,01,20141229,2
USA,AFG,05,20121021,2
GBR,AFG,05,20141006,2
AFG,AFG,08,20100216,26
PAK,AFG,05,20111102,2
USA,AFG,11,20100421,3
PAK,AFG,01,20011008,8
AZE,AFG,04,20100607,4
TJK,AFG,01,20141224,2
GBR,AFG,04,20090728,31
PRT,AFG,03,20101125,1
WST,AFG,19,20110126,2
AFG,AFG,03,20100130,10
ITA,AFG,06,20070923,10
DEU,AFG,03,20140708,8
PAK,AFG,19,20121123,5
IRQ,AFG,05,20121111,243
AFG,AFG,19,20120430,9
PAK,AFG,19,20140825,4
AFG,AFG,04,20120821,29
CUB,AFG,19,20110904,3
AFG,AFG,17,20130609,5
JOR,AFG,06,20110523,12
TKM,AFG,04,20140411,2
USA,AFG,19,20091206,7
USA,AFG,04,20120522,13
USA,AFG,05,20100107,1
IRN,AFG,11,20080421,4
USA,AFG,02,20090908,5
SYR,AFG,17,20111115,2
USA,AFG,01,20140430,36
AFG,AFG,16,20090822,3
PAK,AFG,13,20100109,101
AFG,AFG,04,20120321,6
WST,AFG,18,20100721,16
KEN,AFG,04,20110629,2
USA,AFG,04,20100423,36
USA,AFG,04,20090909,3
PAK,AFG,04,20010131,6
USA,AFG,03,20141015,15
CHN,AFG,17,20131020,7
PAK,AFG,04,20070812,57
USA,AFG,04,20120707,17
HUN,AFG,04,20100824,3
SAU,AFG,01,20090806,8
WST,AFG,19,20110806,6
IRN,AFG,19,20011103,7
IRQ,AFG,15,20120814,2
KGZ,AFG,04,20010503,2
USA,AFG,07,20100619,6
USA,AFG,18,20090301,10
USA,AFG,13,20110118,1
PAK,AFG,15,20130909,2
PAK,AFG,01,20121213,8
