Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
JAM,ABW,03,20140701,10
USA,ABW,08,20111125,6
USA,ABW,17,20140803,2
USA,ABW,04,20110817,179
NLD,ABW,04,20110326,1
USA,ABW,17,20050609,10
USA,ABW,06,20110819,11
USA,AFG,13,20090522,7
USA,AFG,19,20090611,9
PAK,AFG,19,20101217,1
IRN,AFG,17,20080118,6
AFG,AFG,01,20110410,27
PAK,AFG,09,20011010,4
PAK,AFG,03,20020110,5
AFG,AFG,19,20080809,6
IND,AFG,19,20120312,2
MLI,AFG,19,20120407,2
USA,AFG,04,20120518,6
AFG,AFG,02,20070702,7
AFG,AFG,19,20140523,28
WST,AFG,10,20101025,29
AFG,AFG,19,20071106,3
PAK,AFG,01,20121014,5
GRC,AFG,04,20010325,5
WST,AFG,19,20110312,18
AFG,AFG,13,20110315,1
WST,AFG,19,20091125,1
QAT,AFG,04,20130625,30
USA,AFG,01,20150103,1
AFG,AFG,12,20130726,12
GBR,AFG,08,20101003,5
TUR,AFG,01,20111104,1
USA,AFG,14,20110124,2
USA,AFG,03,20130125,2
PAK,AFG,03,20080723,2
PAK,AFG,04,20120327,12
WST,AFG,04,20100211,2
SGP,AFG,04,20021214,1
PAK,AFG,03,20070330,37
AFG,AFG,19,20090225,4
WST,AFG,07,20100910,1
IRN,AFG,02,20140330,10
USA,AFG,06,20120926,6
JPN,AFG,04,20070917,6
AFG,AFG,12,20140715,10
AFG,AFG,04,20111231,7
RUS,AFG,05,20091125,4
PAK,AFG,06,20100116,1
USA,AFG,19,20100430,1
TUR,AFG,06,20070320,1
AFG,AFG,01,20110805,1
USA,AFG,01,20030502,2
WST,AFG,19,20140428,4
CAN,AFG,04,20140708,6
GBR,AFG,01,20140923,28
RUS,AFG,04,20020211,4
USA,AFG,01,20131204,3
USA,AFG,04,20021031,2
GBR,AFG,01,20130602,1
AFG,AFG,04,20140217,86
WST,AFG,15,20100619,103
TUR,AFG,07,20130625,6
RUS,AFG,04,20141207,8
AFG,AFG,09,20031017,4
USA,AFG,05,20140526,46
KGZ,AFG,06,20000106,5
FRA,AFG,04,20101226,23
USA,AFG,11,20140922,2
AFG,AFG,03,20091122,4
USA,AFG,04,20020705,6
IRN,AFG,01,20120604,2
PAK,AFG,01,20130709,44
DEU,AFG,19,20070904,7
USA,AFG,12,20040929,2
SVK,AFG,15,20090923,9
USA,AFG,08,20090928,7
PAK,AFG,04,20120202,12
AFG,AFG,04,20020207,7
PAK,AFG,19,20080618,7
USA,AFG,13,20081117,27
USA,AFG,15,20110623,2
USA,AFG,19,20100520,7
PAK,AFG,08,20141124,2
PAK,AFG,19,20040329,10
SAU,AFG,04,20121114,6
USA,AFG,04,20051012,3
IRN,AFG,12,20060102,3
WST,AFG,15,20080403,5
QAT,AFG,05,20120104,10
USA,AFG,17,20110413,2
AFG,AFG,04,20120224,9
USA,AFG,18,20080930,1
AFG,AFG,01,20141125,5
RUS,AFG,19,20030327,1
AFG,AFG,19,20100820,34
GBR,AFG,04,20120925,2
TUR,AFG,04,20121002,3
PAK,AFG,02,20101216,2
AFG,AFG,02,20071210,8
AFG,AFG,04,20131211,5
AUS,AFG,08,20131216,4
USA,AFG,04,20060925,2
AFG,AFG,08,20081210,15
USA,AFG,11,20130416,24
GBR,AFG,02,20100522,3
USA,AFG,15,20110803,4
AFG,AFG,05,20141205,16
IRN,AFG,03,20070814,1
AFG,AFG,08,20040110,3
PAK,AFG,03,20130911,4
IRN,AFG,07,20001209,4
PAK,AFG,01,20140912,8
IRN,AFG,05,20131218,8
FRA,AFG,13,20100128,3
RUS,AFG,04,20110620,7
PAK,AFG,13,20130629,10
AFG,AFG,19,20090328,4
JPN,AFG,05,20070727,1
IRQ,AFG,05,20140326,2
WST,AFG,19,20071110,4
AFG,AFG,02,20121105,2
PAK,AFG,11,20130925,9
SYR,AFG,01,20140810,2
USA,AFG,19,20120211,1
PAK,AFG,03,20060621,3
AFG,AFG,08,20080716,7
IDN,AFG,04,20110523,2
AFG,AFG,17,20120418,3
AFG,AFG,03,20130609,40
USA,AFG,05,20070714,7
IRQ,AFG,19,20090511,2
AUS,AFG,04,20150126,2
AFG,AFG,12,20130905,30
IRN,AFG,04,20071028,8
PAK,AFG,12,20130203,6
RUS,AFG,01,20130613,2
PAK,AFG,15,20070303,2
AFG,AFG,08,20120719,7
GBR,AFG,03,20101029,1
USA,AFG,04,20101207,9
USA,AFG,04,20111118,90
IRQ,AFG,11,20120126,2
AFG,AFG,19,20141027,3
AFG,AFG,19,20100218,17
AFG,AFG,11,20130516,4
NOR,AFG,05,20090215,1
ITA,AFG,04,20070322,1
PAK,AFG,12,20141206,6
FRA,AFG,01,20031030,6
USA,AFG,08,20101022,7
YEM,AFG,02,20050715,1
AFG,AFG,11,20140911,6
CAN,AFG,01,20100504,9
AFG,AFG,04,20090106,17
KGZ,AFG,06,20100813,2
WST,AFG,19,20120719,10
PAK,AFG,04,20140525,12
AFG,AFG,05,20140608,3
AFG,AFG,04,20050401,27
AFG,AFG,19,20011119,9
PAK,AFG,04,20080727,13
USA,AFG,05,20080801,12
PAK,AFG,01,20020703,7
AFG,AFG,08,20120411,1
USA,AFG,04,20100822,49
USA,AFG,19,20100927,18
USA,AFG,04,20140307,9
AFG,AFG,19,20150126,42
PAK,AFG,17,20101226,2
USA,AFG,11,20111105,64
GBR,AFG,02,20110117,1
CZE,AFG,15,20090923,1
IRQ,AFG,08,20140917,2
AFG,AFG,01,20120217,5
AFG,AFG,20,20120322,5
PAK,AFG,11,20081028,1
USA,AFG,19,20021209,3
AFG,AFG,17,20070120,10
USA,AFG,15,20070228,6
USA,AFG,03,20090219,4
AFG,AFG,11,20120831,4
GBR,AFG,04,20071212,2
USA,AFG,04,20090804,1
WST,AFG,07,20090907,7
BGR,AFG,04,20110215,2
AUS,AFG,08,20120201,12
PAK,AFG,01,20100121,5
PAK,AFG,04,20060906,112
USA,AFG,19,20081214,1
GBR,AFG,15,20070223,1
PAK,AFG,05,20030909,4
AFG,AFG,08,20120723,4
USA,AFG,03,20110106,3
PAK,AFG,15,20011115,2
PAK,AFG,06,20100218,4
AFG,AFG,01,20030401,1
PAK,AFG,19,20120525,1
USA,AFG,04,20141227,1
PAK,AFG,05,20130820,6
WST,AFG,19,20120915,320
PAK,AFG,11,20040802,1
AFG,AFG,04,20071031,18
IRQ,AFG,05,20071119,1
AFG,AFG,05,20080119,9
AFG,AFG,19,20090822,2
GBR,AFG,04,20111113,1
MLI,AFG,04,20130120,2
GHA,AFG,01,20131117,4
DEU,AFG,03,20011115,4
WST,AFG,19,20100123,12
AFG,AFG,11,20120619,3
WST,AFG,19,20071109,24
GBR,AFG,17,20090527,1
AFG,AFG,06,20111022,2
USA,AFG,05,20041216,8
AFG,AFG,03,20091018,4
SYR,AFG,12,20091022,2
IRN,AFG,14,20140912,8
USA,AFG,01,20091204,61
DZA,AFG,04,20011123,9
NZL,AFG,06,20110421,3
AUS,AFG,08,20120417,164
POL,AFG,06,20100315,2
