Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
NLD,ABW,01,20071123,2
JAM,ABW,01,20080120,1
USA,ABW,04,20100617,8
USA,AFG,08,20091023,28
GBR,AFG,02,20110512,24
PAK,AFG,13,20110108,7
DZA,AFG,19,20090625,5
PAK,AFG,08,20090905,12
IRN,AFG,11,20101205,9
PAK,AFG,01,20030613,9
AFG,AFG,01,20101102,4
PAK,AFG,19,20030830,2
RUS,AFG,19,20110903,1
EGY,AFG,11,20120904,24
DEU,AFG,17,20011129,6
PAK,AFG,08,20110820,1
WST,AFG,06,20070614,2
PAK,AFG,05,20050509,4
GBR,AFG,04,20130617,2
PAK,AFG,19,20120504,82
IRQ,AFG,19,20110512,6
PAK,AFG,06,20091215,10
AFG,AFG,19,20120503,6
SYR,AFG,04,20130910,1
GBR,AFG,08,20130729,10
PAK,AFG,02,20110314,44
PAK,AFG,01,20140329,6
USA,AFG,04,20100220,4
AFG,AFG,19,20130718,54
JPN,AFG,06,20020813,4
USA,AFG,17,20141224,1
AFG,AFG,18,20110622,9
IND,AFG,01,20091001,1
VNM,AFG,05,20100910,3
AFG,AFG,05,20051201,2
FRA,AFG,08,20120609,25
AFG,AFG,04,20070527,1
RUS,AFG,11,20081017,1
IRQ,AFG,03,20080722,1
GBR,AFG,04,20131003,10
PAK,AFG,05,20140810,2
PAK,AFG,08,20120824,10
USA,AFG,01,20141012,12
USA,AFG,04,20110308,20
QAT,AFG,04,20130624,4
PAK,AFG,04,20060906,1
AFG,AFG,11,20101112,2
USA,AFG,08,20080925,6
PAK,AFG,04,20121229,6
USA,AFG,15,20090811,2
AFG,AFG,17,20131107,10
USA,AFG,11,20141001,6
JPN,AFG,03,20020111,2
SAU,AFG,02,20090921,4
AFG,AFG,11,20050915,8
AFG,AFG,19,20100826,10
PAK,AFG,05,20121206,28
BGD,AFG,01,20141203,14
NZL,AFG,04,20140316,20
PAK,AFG,04,20080420,1
USA,AFG,03,20110303,1
USA,AFG,02,20080109,1
USA,AFG,07,20091107,1
AFG,AFG,04,20050903,1
PAK,AFG,19,20140130,6
RUS,AFG,13,20091224,6
USA,AFG,05,20120224,27
USA,AFG,01,20110909,1
KOR,AFG,07,20080430,6
USA,AFG,02,20141002,16
USA,AFG,08,20140525,14
PAK,AFG,04,20131005,11
AFG,AFG,11,20090404,12
AFG,AFG,19,20100817,9
AFG,AFG,02,20091006,1
IRQ,AFG,04,20100827,8
AFG,AFG,16,20091008,16
AFG,AFG,05,20120410,5
AFG,AFG,19,20130728,6
CUB,AFG,04,20090203,18
ITA,AFG,04,20050521,5
PAK,AFG,19,20080427,9
PAK,AFG,12,20110430,6
USA,AFG,10,20100928,2
AFG,AFG,04,20130619,73
WST,AFG,07,20111102,6
BGD,AFG,04,20081102,31
WST,AFG,06,20150119,2
MKD,AFG,15,20140902,8
WST,AFG,02,20070210,6
PAK,AFG,13,20121211,10
USA,AFG,08,20090816,4
IDN,AFG,17,20090614,9
USA,AFG,02,20080222,8
AFG,AFG,01,20141202,2
AFG,AFG,19,20081215,34
USA,AFG,01,20080501,1
PAK,AFG,06,20150209,8
AFG,AFG,04,20090518,21
USA,AFG,04,20140927,12
POL,AFG,19,20100806,2
SDN,AFG,04,20110320,4
SYR,AFG,01,20130823,22
PAK,AFG,04,20021023,6
DEU,AFG,06,20110209,1
USA,AFG,01,20091101,2
GBR,AFG,07,20091105,2
WST,AFG,10,20110526,14
QAT,AFG,11,20140128,2
AFG,AFG,19,20110407,12
IRN,AFG,04,20110721,3
PAK,AFG,01,20070415,5
USA,AFG,16,20110615,4
USA,AFG,05,20090413,2
USA,AFG,04,20100927,2
PAK,AFG,17,20010921,8
AFG,AFG,19,20140812,3
PAK,AFG,03,20080220,4
AFG,AFG,02,20030318,2
AFG,AFG,18,20071127,1
LBN,AFG,19,20140629,18
USA,AFG,02,20090327,62
WST,AFG,06,20100101,3
RUS,AFG,11,20110530,3
AFG,AFG,11,20120428,7
AFG,AFG,01,20140901,2
USA,AFG,07,20080416,9
PAK,AFG,05,20090120,36
WST,AFG,15,20111216,9
