Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,12,20021106,6
USA,ABW,01,20101124,3
PER,ABW,09,20110325,34
AFG,AFG,19,20040419,8
CHE,AFG,02,20101019,10
IRQ,AFG,04,20090701,2
USA,AFG,13,20090706,23
SWE,AFG,17,20101216,5
WST,AFG,04,20060208,6
LBY,AFG,05,20090929,14
USA,AFG,19,20080812,5
AFG,AFG,01,20140104,4
AFG,AFG,11,20100107,16
GBR,AFG,19,20081213,13
PAK,AFG,13,20100502,15
GBR,AFG,06,20100605,1
USA,AFG,11,20070205,4
AFG,AFG,18,20120611,17
PAK,AFG,02,20100709,14
USA,AFG,11,20130629,1
GBR,AFG,15,20101006,2
PAK,AFG,11,20070821,9
USA,AFG,19,20091026,3
JPN,AFG,03,20130307,1
USA,AFG,09,20020101,7
WST,AFG,01,20080910,3
USA,AFG,04,20140104,8
EUR,AFG,11,20110718,2
USA,AFG,07,20100529,43
AUS,AFG,06,20090105,4
USA,AFG,07,20130825,12
PAK,AFG,01,20140502,20
SVK,AFG,07,20090724,2
AFG,AFG,18,20060122,6
USA,AFG,07,20110227,2
PAK,AFG,01,20120102,4
USA,AFG,11,20110322,3
AFG,AFG,03,20080712,5
TJK,AFG,03,20120302,8
GBR,AFG,04,20131216,8
PAK,AFG,18,20110501,90
USA,AFG,19,20020912,12
WST,AFG,19,20100405,14
USA,AFG,17,20090216,2
PAK,AFG,17,20070407,37
GBR,AFG,04,20120611,1
USA,AFG,19,20120626,3
AFG,AFG,13,20070721,1
ITA,AFG,16,20070927,7
MHL,AFG,08,20121002,6
GBR,AFG,04,20130301,6
USA,AFG,02,20120325,18
EUR,AFG,03,20061216,1
AFG,AFG,12,20130413,2
AFG,AFG,04,20021123,4
USA,AFG,01,20120629,6
USA,AFG,01,20100802,3
VNM,AFG,04,20141218,2
CAN,AFG,02,20090524,4
USA,AFG,05,20131017,2
PAK,AFG,01,20121231,10
AUS,AFG,06,20110220,1
JPN,AFG,01,20090927,3
AFG,AFG,19,20091123,5
PAK,AFG,05,20020110,6
CHN,AFG,04,20140106,2
GBR,AFG,01,20100126,9
USA,AFG,11,20120420,4
AFG,AFG,02,20030126,5
USA,AFG,02,20120702,50
USA,AFG,19,20070613,2
USA,AFG,18,20070714,2
KOR,AFG,10,20070731,1
USA,AFG,19,20130921,111
AFG,AFG,19,20071028,8
PAK,AFG,01,20090521,4
AFG,AFG,17,20090704,52
PAK,AFG,06,20130103,8
PAK,AFG,03,20060724,4
TUR,AFG,01,20011230,2
IRN,AFG,11,20120307,2
USA,AFG,19,20060902,6
AFG,AFG,02,20060926,2
CZE,AFG,15,20081012,3
USA,AFG,18,20030630,2
PAK,AFG,05,20140403,6
CAN,AFG,15,20140501,2
PAK,AFG,04,20090716,2
IRN,AFG,04,20060119,2
PAK,AFG,04,20120210,8
AFG,AFG,01,20130223,6
GBR,AFG,04,20020617,5
USA,AFG,04,20120405,4
IND,AFG,04,20100425,36
CAN,AFG,19,20140130,32
AFG,AFG,12,20140213,10
IRN,AFG,03,20120604,70
KAZ,AFG,05,20120613,1
AFG,AFG,16,20130618,6
PAK,AFG,06,20070804,99
PAK,AFG,19,20090517,9
CAN,AFG,01,20140723,8
USA,AFG,17,20101208,20
NZL,AFG,08,20071220,6
AFG,AFG,07,20131119,28
AFG,AFG,19,20060330,6
TUR,AFG,03,20011024,1
IRQ,AFG,19,20080915,15
AFG,AFG,01,20140109,4
USA,AFG,08,20100419,9
USA,AFG,15,20110827,2
AFG,AFG,17,20031123,5
RUS,AFG,04,20040419,6
BEL,AFG,02,20091019,2
USA,AFG,05,20110313,4
ESP,AFG,02,20081114,4
EUR,AFG,19,20150117,6
SAU,AFG,12,20140621,4
AFG,AFG,17,20001114,1
WST,AFG,19,20111126,8
GBR,AFG,06,20080609,9
