Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
NLD,ABW,19,20100815,2
NLD,ABW,08,20140808,4
USA,ABW,04,20110307,6
USA,ABW,08,20070614,3
ABW,ABW,17,20071121,14
GUY,ABW,04,20140726,2
ABW,ABW,01,20071124,7
FIN,AFG,07,20090109,16
PAK,AFG,19,20070325,1
GBR,AFG,08,20121014,192
CZE,AFG,06,20100109,2
AFG,AFG,17,20121127,20
WST,AFG,06,20070514,10
RUS,AFG,01,20040128,2
AFG,AFG,07,20140923,1
GBR,AFG,19,20090701,9
PAK,AFG,09,20141217,2
IRQ,AFG,03,20100525,3
IRQ,AFG,11,20090914,54
AFG,AFG,05,20100604,8
USA,AFG,05,20120819,13
GBR,AFG,19,20110424,4
PAK,AFG,19,20131128,10
AFG,AFG,01,20111117,4
PAK,AFG,17,20120504,1
CHN,AFG,04,20100323,15
PAK,AFG,17,20120806,6
JPN,AFG,07,20120708,1
SAU,AFG,03,20131015,2
USA,AFG,19,20040312,6
CAN,AFG,19,20140331,10
PAK,AFG,08,20131130,5
ITA,AFG,08,20110119,5
USA,AFG,04,20090128,5
AFG,AFG,11,20101030,2
CHN,AFG,05,20120606,1
DEU,AFG,05,20090414,4
GBR,AFG,04,20070212,1
WST,AFG,03,20100218,3
CZE,AFG,03,20090603,2
USA,AFG,03,20140228,6
RUS,AFG,01,20090328,1
USA,AFG,01,20131022,3
AFG,AFG,01,20090105,1
PAK,AFG,19,20100624,4
USA,AFG,17,20140531,7
IRN,AFG,19,20010306,1
PAK,AFG,01,20111206,7
IRN,AFG,01,20130623,8
AUS,AFG,18,20110329,7
AFG,AFG,09,20110709,6
AFG,AFG,01,20100817,8
USA,AFG,06,20110517,8
AFG,AFG,03,20100613,7
AFG,AFG,01,20060226,4
AFG,AFG,01,20141001,4
RUS,AFG,05,20110615,3
AZE,AFG,08,20140219,6
ZAF,AFG,11,20080811,2
PAK,AFG,04,20091221,1
WST,AFG,19,20140730,18
CAN,AFG,05,20051219,5
AFG,AFG,04,20150203,10
RUS,AFG,13,20070411,2
AFG,AFG,03,20091012,7
MKD,AFG,03,20050816,9
JOR,AFG,01,20090511,3
AFG,AFG,19,20120414,1
WST,AFG,04,20090712,9
PAK,AFG,05,20080911,6
CHN,AFG,04,20100316,5
LVA,AFG,03,20100707,4
USA,AFG,19,20090210,4
VNM,AFG,04,20040930,1
AFG,AFG,03,20011230,5
USA,AFG,03,20070815,8
CZE,AFG,04,20020521,1
USA,AFG,06,20140819,6
GBR,AFG,05,20131231,3
NZL,AFG,09,20130730,8
USA,AFG,04,20130618,155
EGY,AFG,14,20130816,1
PAK,AFG,01,20140109,6
USA,AFG,05,20120412,12
SAU,AFG,04,20110829,1
AZE,AFG,01,20150120,10
ITA,AFG,02,20090818,4
USA,AFG,15,20090420,3
AFG,AFG,18,20091122,6
FRA,AFG,17,20090419,5
AFG,AFG,17,20090104,6
PAK,AFG,04,20110215,2
PAK,AFG,04,20010917,3
GBR,AFG,01,20070225,2
MOZ,AFG,04,20060530,1
USA,AFG,11,20120707,3
PAK,AFG,13,20140419,8
ZAF,AFG,18,20050730,1
CAN,AFG,17,20101005,2
PAK,AFG,03,20081108,7
AFG,AFG,13,20110411,20
USA,AFG,06,20120318,7
