Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,19,20090307,4
USA,ABW,01,20070903,2
NLD,ABW,04,20110414,5
MEX,ABW,04,20100914,6
USA,ABW,09,20110813,18
AFG,AFG,19,20120503,10
PAK,AFG,08,20131002,20
USA,AFG,19,20040314,2
AFG,AFG,07,20120327,6
USA,AFG,08,20140711,8
AFG,AFG,19,20101115,20
WST,AFG,19,20090812,10
IRQ,AFG,11,20090708,1
AFG,AFG,01,20011027,1
DEU,AFG,07,20071103,3
USA,AFG,15,20140630,4
IRN,AFG,03,20060529,4
AUS,AFG,08,20070517,2
PAK,AFG,19,20110523,11
DEU,AFG,11,20090904,21
AFG,AFG,11,20100222,1
USA,AFG,11,20100709,3
USA,AFG,16,20101123,4
DEU,AFG,07,20091118,3
USA,AFG,03,20110809,34
PAK,AFG,01,20121112,4
BGR,AFG,04,20100125,2
GBR,AFG,18,20090720,2
GBR,AFG,03,20130204,12
PAK,AFG,03,20000517,6
KGZ,AFG,01,20130423,2
RUS,AFG,08,20120216,12
PAK,AFG,17,20101209,3
PAK,AFG,04,20141125,22
WST,AFG,19,20130113,84
BEL,AFG,04,20050215,2
PAK,AFG,19,20130910,18
USA,AFG,06,20140517,2
IRN,AFG,01,20010917,4
PAK,AFG,04,20031222,4
PAK,AFG,04,20030302,6
DEU,AFG,02,20011130,6
AFG,AFG,11,20120917,6
USA,AFG,12,20101027,3
IRN,AFG,08,20070411,2
AFG,AFG,19,20120810,10
WST,AFG,04,20110806,10
PAK,AFG,01,20141116,10
PAK,AFG,14,20030707,7
UZB,AFG,02,20080410,2
IRQ,AFG,04,20080720,15
FSM,AFG,11,20090125,18
CAN,AFG,09,20080430,2
AFG,AFG,05,20140720,8
CHN,AFG,05,20100307,10
RUS,AFG,01,20030221,7
USA,AFG,05,20111215,7
WST,AFG,19,20110427,2
USA,AFG,19,20051101,5
GBR,AFG,08,20110211,3
CHN,AFG,04,20011225,2
PAK,AFG,04,20131015,3
USA,AFG,19,20110317,32
AFG,AFG,04,20120308,3
AZE,AFG,01,20060913,2
SYR,AFG,04,20141015,2
USA,AFG,05,20131017,24
USA,AFG,03,20130109,8
AFG,AFG,19,20020122,4
USA,AFG,04,20100720,85
AFG,AFG,18,20070612,3
CAN,AFG,07,20150116,1
HRV,AFG,03,20070102,1
AFG,AFG,04,20031001,5
GBR,AFG,19,20131113,2
AFG,AFG,02,20110207,9
IRN,AFG,19,20070923,2
GBR,AFG,01,20131219,2
AFG,AFG,17,20100607,9
AFG,AFG,04,20121215,4
AUS,AFG,12,20080515,6
AFG,AFG,01,20101022,8
IDN,AFG,17,20100203,1
IRQ,AFG,19,20120513,5
PAK,AFG,19,20120719,2
AFG,AFG,02,20060907,2
PAK,AFG,03,20090126,24
USA,AFG,11,20101229,3
AFG,AFG,07,20121209,2
USA,AFG,05,20140719,10
PAK,AFG,04,20080310,2
DEU,AFG,05,20011016,1
GBR,AFG,01,20090817,14
IRN,AFG,04,20070313,4
PAK,AFG,19,20110221,1
PAK,AFG,18,20080803,5
USA,AFG,04,20121121,12
USA,AFG,06,20080115,2
IRN,AFG,17,20131016,16
AFG,AFG,07,20020102,9
NOR,AFG,03,20091211,28
AFG,AFG,10,20070709,3
PAK,AFG,19,20111123,1
ESP,AFG,11,20101107,1
TUR,AFG,03,20060813,2
USA,AFG,06,20100214,39
USA,AFG,06,20090808,4
PAK,AFG,04,20080208,2
AFG,AFG,01,20090530,3
AFG,AFG,11,20120103,3
EST,AFG,08,20070629,2
GBR,AFG,04,20130208,18
AFR,AFG,01,20090620,3
FRA,AFG,08,20121228,1
CZE,AFG,15,20060203,4
BEL,AFG,04,20110106,1
AUS,AFG,08,20131029,3
IRQ,AFG,19,20090818,8
AFG,AFG,19,20111119,83
USA,AFG,15,20111124,2
AFG,AFG,19,20090914,2
PAK,AFG,19,20130111,18
PAK,AFG,05,20130808,1
AFG,AFG,04,20020928,1
GBR,AFG,01,20101104,3
PAK,AFG,04,20100821,5
AFG,AFG,08,20070527,3
EUR,AFG,03,20110323,5
RUS,AFG,11,20020404,2
PAK,AFG,04,20140610,1
PAK,AFG,01,20030326,4
AUS,AFG,04,20101002,9
KOR,AFG,18,20070722,5
AFG,AFG,19,20110504,6
DEU,AFG,15,20070915,18
PAK,AFG,04,20001107,7
PAK,AFG,05,20130308,6
PAK,AFG,05,20070804,14
USA,AFG,04,20140417,6
USA,AFG,01,20081223,2
PAK,AFG,11,20030715,5
CAN,AFG,05,20101011,5
AFG,AFG,01,20100109,6
SLE,AFG,03,20101118,1
GBR,AFG,19,20140625,4
DEU,AFG,15,20110603,6
WST,AFG,02,20130329,15
USA,AFG,02,20070905,2
WST,AFG,18,20130923,14
USA,AFG,03,20090324,1
RUS,AFG,01,20011117,17
GBR,AFG,01,20020319,4
IRN,AFG,04,20120504,2
CAN,AFG,04,20130623,4
GBR,AFG,10,20060924,6
PAK,AFG,01,20100216,44
USA,AFG,18,20111206,24
IRN,AFG,19,20120303,9
AFG,AFG,06,20110914,9
AUS,AFG,05,20090329,2
RUS,AFG,14,20020901,2
USA,AFG,05,20091014,35
IRQ,AFG,02,20090805,2
AFG,AFG,14,20091110,27
AFG,AFG,04,20141012,4
GBR,AFG,07,20140430,6
AFG,AFG,17,20120717,1
AFG,AFG,11,20120228,18
USA,AFG,11,20090215,3
USA,AFG,19,20140119,5
USA,AFG,19,20081009,3
USA,AFG,02,20100909,1
AFG,AFG,05,20090918,18
AFG,AFG,11,20131214,6
AFG,AFG,08,20100917,3
AFG,AFG,04,20080219,10
GBR,AFG,05,20060704,9
AFG,AFG,08,20030714,12
PAK,AFG,19,20011126,21
WST,AFG,11,20120521,12
CHN,AFG,19,20011224,1
USA,AFG,03,20090118,1
MWI,AFG,04,20110331,7
USA,AFG,11,20080202,6
USA,AFG,19,20140928,4
IRN,AFG,06,20090613,2
USA,AFG,19,20060702,9
RUS,AFG,07,20060131,12
PAK,AFG,18,20130529,10
GBR,AFG,01,20101104,1
USA,AFG,08,20110417,4
IRN,AFG,07,20030204,3
CHE,AFG,19,20130702,26
USA,AFG,15,20071121,2
IRN,AFG,16,20020707,2
USA,AFG,19,20081107,4
AFG,AFG,09,20071129,2
TUR,AFG,05,20120313,1
IRQ,AFG,03,20121002,5
IRN,AFG,05,20131114,8
USA,AFG,07,20090719,10
CAN,AFG,19,20080121,2
AFG,AFG,05,20030307,6
IRQ,AFG,04,20111106,18
AZE,AFG,04,20081216,3
FRA,AFG,03,20120525,15
CHN,AFG,03,20150217,4
IRN,AFG,01,20110116,4
JPN,AFG,04,20100907,7
USA,AFG,13,20081217,5
PAK,AFG,08,20090809,3
PAK,AFG,04,20130203,3
USA,AFG,15,20090426,1
PAK,AFG,04,20110426,4
AFG,AFG,04,20070918,4
USA,AFG,07,20100822,8
FRA,AFG,12,20130115,8
USA,AFG,06,20130619,1
FRA,AFG,04,20081214,2
PAK,AFG,02,20080407,4
USA,AFG,04,20010922,1
WST,AFG,01,20070411,3
BGD,AFG,17,20110807,2
WST,AFG,04,20130404,8
AFG,AFG,08,20060324,2
USA,AFG,03,20140613,12
USA,AFG,19,20111003,9
AFG,AFG,01,20130603,8
PAK,AFG,12,20090830,1
RUS,AFG,08,20090204,1
USA,AFG,04,20060718,4
GBR,AFG,04,20141203,1
FRA,AFG,07,20080406,1
AFG,AFG,12,20120811,10
AFG,AFG,11,20110530,14
TKM,AFG,01,20021217,2
WST,AFG,04,20081009,10
USA,AFG,03,20120105,7
USA,AFG,13,20050225,1
PAK,AFG,05,20141103,1
CAN,AFG,01,20120924,2
AFG,AFG,19,20070706,18
USA,AFG,08,20100518,6
PAK,AFG,04,20120213,22
IRQ,AFG,04,20080621,1
USA,AFG,06,20110718,5
PAK,AFG,14,20011002,1
AFG,AFG,06,20120328,4
USA,AFG,06,20091203,4
CAN,AFG,05,20090104,2
AFG,AFG,09,20130903,2
AFG,AFG,07,20111126,2
AFG,AFG,12,20110621,20
AFG,AFG,08,20031106,6
USA,AFG,08,20131027,24
USA,AFG,05,20120527,10
FRA,AFG,03,20080427,9
PAK,AFG,08,20130923,1
PAK,AFG,17,20131228,2
PAK,AFG,04,20090801,4
USA,AFG,10,20120713,1
AFG,AFG,03,20121108,5
JPN,AFG,05,20090223,6
AFG,AFG,08,20131231,1
USA,AFG,04,20021120,4
RUS,AFG,01,20130811,4
BEL,AFG,01,20090803,8
IRQ,AFG,12,20141111,13
USA,AFG,04,20130830,5
CAN,AFG,01,20080617,1
AFG,AFG,17,20011210,3
AFG,AFG,19,20110222,5
USA,AFG,04,20130624,96
YEM,AFG,04,20110902,2
FRA,AFG,07,20100212,10
AUS,AFG,06,20090106,10
AFG,AFG,19,20090530,10
USA,AFG,06,20141212,34
WST,AFG,11,20110406,52
GBR,AFG,19,20090214,9
IRQ,AFG,04,20110702,1
USA,AFG,01,20130204,7
PAK,AFG,09,20130920,8
AFG,AFG,03,20110407,9
AFG,AFG,04,20100822,1
PAK,AFG,04,20131202,5
SAU,AFG,04,20150204,1
PAK,AFG,12,20000813,1
CHN,AFG,05,20110621,4
AZE,AFG,07,20130828,2
CAN,AFG,02,20080122,7
AFG,AFG,05,20040229,7
AFG,AFG,19,20090809,4
AFG,AFG,19,20111003,63
PAK,AFG,17,20141219,38
FRA,AFG,01,20110920,4
USA,AFG,07,20100409,12
GBR,AFG,15,20110603,4
FRA,AFG,03,20120507,22
QAT,AFG,04,20111221,1
THA,AFG,04,20140601,5
CAN,AFG,19,20140128,6
AFG,AFG,02,20120128,6
GBR,AFG,09,20021203,2
AFG,AFG,16,20100712,6
IRN,AFG,19,20000411,2
AFG,AFG,11,20140427,5
WST,AFG,04,20111122,7
USA,AFG,07,20130725,3
AFG,AFG,18,20041111,2
PAK,AFG,20,20140226,40
AFG,AFG,01,20011113,14
PAK,AFG,13,20080807,2
PAK,AFG,17,20090803,5
ITA,AFG,07,20040716,7
PAK,AFG,12,20031101,1
FRA,AFG,08,20121221,7
NOR,AFG,12,20101210,4
WST,AFG,11,20080824,10
AFG,AFG,04,20101126,8
USA,AFG,19,20141216,50
AUS,AFG,08,20100623,8
CAN,AFG,19,20110523,16
DEU,AFG,05,20040630,2
RUS,AFG,05,20010830,10
PAK,AFG,08,20130320,6
AFG,AFG,19,20100106,14
JOR,AFG,19,20100113,6
RUS,AFG,08,20090210,4
USA,AFG,05,20110427,66
AFG,AFG,01,20120812,6
IRQ,AFG,01,20120729,2
SAU,AFG,01,20020221,2
USA,AFG,04,20031001,1
USA,AFG,16,20080814,9
BEL,AFG,03,20061224,5
AFG,AFG,03,20130324,4
USA,AFG,02,20130217,1
PAK,AFG,03,20080718,9
USA,AFG,19,20101220,9
BEL,AFG,01,20130318,22
