Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,11,20071122,3
MEX,ABW,03,20120515,2
USA,ABW,17,20110817,9
ABW,ABW,01,20081118,24
NLD,ABW,01,20120112,106
USA,ABW,06,20110818,33
ABW,ABW,11,20071124,4
AFG,AFG,18,20101114,2
KOR,AFG,04,20070830,1
GBR,AFG,11,20111008,21
AFG,AFG,19,20121029,4
PAK,AFG,08,20111130,20
AFG,AFG,01,20080802,6
AFG,AFG,19,20110804,5
USA,AFG,08,20110819,2
USA,AFG,03,20130618,10
USA,AFG,16,20130619,4
CHN,AFG,05,20141218,4
WST,AFG,04,20120823,2
USA,AFG,03,20090507,7
AFG,AFG,04,20130801,1
PAK,AFG,11,20130804,18
GBR,AFG,19,20111020,2
USA,AFG,04,20140623,128
IRQ,AFG,03,20050608,8
FIN,AFG,07,20090930,7
AFG,AFG,19,20060424,3
IRQ,AFG,05,20070702,2
CHN,AFG,04,20120923,14
FSM,AFG,04,20120131,2
USA,AFG,19,20131210,5
AUS,AFG,08,20131216,10
AUS,AFG,13,20110516,4
USA,AFG,11,20120410,2
WST,AFG,08,20100414,3
USA,AFG,13,20090217,2
WST,AFG,05,20141203,3
USA,AFG,19,20090312,4
JPN,AFG,04,20120708,249
TUR,AFG,05,20140324,4
RUS,AFG,06,20040213,2
AUS,AFG,18,20090825,9
AFG,AFG,03,20090918,18
AFG,AFG,11,20091107,64
RUS,AFG,08,20091213,4
USA,AFG,04,20091213,9
USA,AFG,18,20010921,2
FRA,AFG,19,20110426,8
CHN,AFG,16,20020514,2
AFG,AFG,12,20090327,9
PAK,AFG,16,20101115,4
WST,AFG,19,20090623,6
IRN,AFG,11,20010729,5
USA,AFG,02,20120227,26
USA,AFG,07,20131130,52
AFG,AFG,19,20110510,7
JOR,AFG,01,20100118,63
GBR,AFG,06,20081215,2
IRN,AFG,05,20021207,5
AFG,AFG,19,20130722,4
IRQ,AFG,19,20111220,4
AFG,AFG,11,20121202,7
AFG,AFG,15,20091019,14
USA,AFG,04,20120216,22
SDN,AFG,04,20011010,16
GBR,AFG,06,20060807,2
SAU,AFG,08,20081006,15
GBR,AFG,04,20110705,4
USA,AFG,01,20100609,2
RUS,AFG,10,20090327,7
IRQ,AFG,19,20070816,6
AFG,AFG,07,20140523,10
USA,AFG,19,20090706,3
WST,AFG,01,20110212,13
USA,AFG,19,20110221,6
SYR,AFG,01,20140925,5
ESP,AFG,04,20110310,2
USA,AFG,05,20140930,16
PAK,AFG,12,20100210,40
USA,AFG,19,20100605,2
USA,AFG,06,20140212,6
IRQ,AFG,19,20150217,18
AFG,AFG,05,20140406,4
RUS,AFG,05,20140524,4
GBR,AFG,19,20090702,6
SAU,AFG,04,20140724,4
USA,AFG,03,20080117,9
SAU,AFG,01,20090803,2
UZB,AFG,04,20010401,4
GBR,AFG,19,20131128,1
USA,AFG,10,20011227,5
RUS,AFG,05,20080812,1
USA,AFG,06,20110426,4
USA,AFG,01,20120423,8
PAK,AFG,04,20130613,2
PAK,AFG,05,20100605,9
AFG,AFG,19,20070402,3
UZB,AFG,08,20120604,12
USA,AFG,05,20120719,10
PAK,AFG,16,20090427,14
CHN,AFG,19,20120905,2
UZB,AFG,04,20040830,6
ITA,AFG,04,20041219,4
PAK,AFG,17,20090901,9
USA,AFG,05,20090930,15
USA,AFG,01,20120103,4
AFG,AFG,01,20081117,4
USA,AFG,19,20110718,1
CAN,AFG,01,20110722,16
PAK,AFG,11,20120627,8
LBR,AFG,04,20100623,2
USA,AFG,07,20050504,1
PAK,AFG,04,20001001,6
CAN,AFG,18,20091007,2
IRN,AFG,05,20111228,16
RUS,AFG,06,20091230,7
PAK,AFG,19,20011120,16
AFG,AFG,05,20011205,8
CHN,AFG,02,20020903,7
AFG,AFG,08,20061225,1
USA,AFG,01,20081005,4
AFG,AFG,04,20090203,10
ITA,AFG,16,20030810,2
IRQ,AFG,10,20070818,4
LBY,AFG,19,20140601,1
WST,AFG,19,20101002,9
IRN,AFG,19,20000717,2
GBR,AFG,17,20121014,42
USA,AFG,19,20050701,2
PAK,AFG,11,20120118,4
AFG,AFG,19,20080614,12
USA,AFG,19,20100130,2
HUN,AFG,03,20081009,1
CZE,AFG,08,20081219,6
USA,AFG,04,20100306,8
USA,AFG,01,20100316,10
PAK,AFG,11,20070421,4
AFG,AFG,05,20090312,5
IRQ,AFG,04,20070516,15
RUS,AFG,19,20120714,1
KOR,AFG,18,20070904,4
AFG,AFG,04,20111004,14
SAU,AFG,12,20140708,8
USA,AFG,04,20050415,3
AFG,AFG,13,20080126,16
USA,AFG,18,20090924,2
AFG,AFG,05,20091021,4
PAK,AFG,05,20110503,5
PAK,AFG,07,20020828,5
AFG,AFG,04,20130325,35
USA,AFG,04,20101111,33
NOR,AFG,04,20060703,3
PAK,AFG,03,20020729,1
CHN,AFG,03,20120621,27
GBR,AFG,07,20070719,28
PAK,AFG,06,20130904,10
USA,AFG,04,20090913,16
NLD,AFG,06,20060203,1
AFG,AFG,04,20080313,5
GBR,AFG,03,20080411,2
SWE,AFG,02,20010928,5
AFG,AFG,15,20110602,1
USA,AFG,06,20020329,6
USA,AFG,11,20081228,4
USA,AFG,08,20030207,4
TUR,AFG,03,20140407,6
FRA,AFG,17,20040526,1
CHN,AFG,13,20111010,2
IRN,AFG,04,20001231,4
USA,AFG,19,20121224,12
AFG,AFG,01,20110130,4
PAK,AFG,04,20140915,1
PAK,AFG,06,20091119,12
NZL,AFG,03,20010910,4
AFG,AFG,17,20011025,2
GBR,AFG,07,20020107,1
AFG,AFG,02,20100105,5
USA,AFG,19,20061117,7
USA,AFG,01,20120531,12
USA,AFG,05,20120908,8
USA,AFG,19,20101209,5
USA,AFG,08,20111229,4
WST,AFG,05,20100216,84
POL,AFG,19,20061120,7
GBR,AFG,05,20140221,3
WST,AFG,08,20120518,2
CAN,AFG,06,20120520,55
AFG,AFG,01,20031222,8
AFG,AFG,05,20120910,9
USA,AFG,16,20140531,10
PAK,AFG,19,20071027,40
PAK,AFG,18,20090614,2
FRA,AFG,10,20130110,4
USA,AFG,11,20050731,1
PAK,AFG,07,20091001,2
AFG,AFG,08,20120110,4
USA,AFG,08,20060628,3
PAK,AFG,11,20011027,9
USA,AFG,05,20140108,6
AFG,AFG,19,20110905,1
PAK,AFG,17,20090220,6
CAN,AFG,09,20070707,2
GBR,AFG,08,20140317,9
AFG,AFG,04,20140526,12
AFG,AFG,19,20101114,7
AFG,AFG,01,20071101,5
USA,AFG,02,20111025,4
AFG,AFG,18,20080113,1
DEU,AFG,04,20090912,7
PAK,AFG,03,20111130,2
USA,AFG,10,20110223,4
USA,AFG,19,20131128,2
PAK,AFG,19,20091128,18
USA,AFG,19,20010916,4
SAU,AFG,04,20020127,1
AFG,AFG,05,20080704,4
PAK,AFG,08,20131215,10
BEL,AFG,04,20130318,14
AFG,AFG,05,20110623,14
EUR,AFG,04,20100323,78
USA,AFG,05,20100530,2
SVK,AFG,07,20070228,8
AFG,AFG,01,20090402,16
PAK,AFG,04,20150208,1
KWT,AFG,19,20140409,4
AFG,AFG,01,20140613,6
AFG,AFG,01,20110224,2
FRA,AFG,03,20011116,1
USA,AFG,04,20120223,46
USA,AFG,02,20110613,141
IRQ,AFG,19,20141116,44
AFG,AFG,11,20100620,4
PAK,AFG,13,20030709,1
AFG,AFG,03,20090221,7
TKM,AFG,05,20100831,11
USA,AFG,17,20040612,9
USA,AFG,19,20110731,43
PAK,AFG,14,20141217,16
USA,AFG,04,20090416,16
USA,AFG,07,20000521,3
AFG,AFG,01,20000531,4
DEU,AFG,02,20041024,5
USA,AFG,19,20091001,16
GBR,AFG,05,20091105,6
PAK,AFG,05,20080522,5
USA,AFG,02,20091230,18
PAK,AFG,03,20080729,7
PAK,AFG,04,20020701,1
AUS,AFG,04,20130319,10
USA,AFG,04,20110704,21
SWE,AFG,05,20141112,5
CAN,AFG,17,20070111,10
WST,AFG,18,20070216,9
IRN,AFG,08,20130617,2
PAK,AFG,01,20130704,7
AFG,AFG,18,20140325,4
USA,AFG,03,20040618,11
AFG,AFG,17,20111019,8
AFG,AFG,07,20090821,7
DEU,AFG,02,20090913,2
AFG,AFG,05,20140824,2
TUR,AFG,04,20060118,1
ITA,AFG,05,20011004,5
USA,AFG,04,20080719,27
NZL,AFG,19,20100120,2
PAK,AFG,07,20070303,9
DEU,AFG,01,20070722,1
