Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
USA,ABW,08,20071123,2
VEN,ABW,08,20140728,6
NLD,ABW,01,20140723,1
USA,ABW,07,20120410,24
USA,ABW,07,20120410,9
AFG,AFG,08,20140605,2
EUR,AFG,01,20100201,2
AFG,AFG,01,20131107,4
USA,AFG,03,20020529,5
USA,AFG,04,20081009,3
USA,AFG,04,20090202,1
RUS,AFG,19,20100420,8
PAK,AFG,05,20120802,1
AFG,AFG,05,20090624,9
PAK,AFG,15,20140507,8
USA,AFG,04,20120612,45
LKA,AFG,04,20110518,1
FRA,AFG,01,20090911,5
TUR,AFG,07,20080319,4
USA,AFG,07,20070320,9
DEU,AFG,04,20130608,4
TUR,AFG,04,20111030,2
AFG,AFG,01,20121201,5
PAK,AFG,05,20140714,1
PAK,AFG,19,20070212,7
AFG,AFG,19,20090617,5
AFG,AFG,04,20110924,3
PAK,AFG,07,20040722,10
CAN,AFG,18,20070427,5
GBR,AFG,05,20110912,9
IRN,AFG,02,20071012,4
USA,AFG,19,20100224,8
USA,AFG,02,20091109,9
USA,AFG,01,20110131,7
NPL,AFG,04,20090429,1
PAK,AFG,12,20130805,7
PAK,AFG,04,20141225,2
CAN,AFG,05,20070409,3
USA,AFG,04,20120901,2
GBR,AFG,19,20131205,6
USA,AFG,12,20091122,4
TUR,AFG,15,20071008,2
USA,AFG,18,20080812,9
RUS,AFG,19,20020417,2
AFG,AFG,04,20141219,3
USA,AFG,19,20011019,9
AFG,AFG,19,20070707,15
USA,AFG,07,20110902,8
USA,AFG,03,20110821,9
USA,AFG,07,20060921,1
PAK,AFG,08,20080517,7
BEL,AFG,04,20040506,6
USA,AFG,01,20130520,2
GBR,AFG,04,20050420,5
USA,AFG,05,20101016,3
CAN,AFG,04,20080227,1
KGZ,AFG,06,20110719,1
USA,AFG,11,20140327,2
AFG,AFG,11,20130928,10
PAK,AFG,15,20080925,4
RUS,AFG,03,20110530,1
PAK,AFG,02,20121012,10
USA,AFG,03,20130713,6
DEU,AFG,04,20101123,15
USA,AFG,13,20130109,1
PAK,AFG,07,20120425,7
USA,AFG,04,20111227,7
UKR,AFG,08,20120419,12
WST,AFG,19,20110421,7
GBR,AFG,08,20120313,4
IRL,AFG,04,20090918,1
USA,AFG,02,20011128,6
AFG,AFG,01,20021203,18
AFG,AFG,11,20140623,9
USA,AFG,06,20130629,1
CHN,AFG,19,20070724,7
PAK,AFG,19,20100329,3
USA,AFG,11,20100617,1
AFG,AFG,01,20141018,34
GBR,AFG,04,20111211,8
NLD,AFG,04,20120207,1
IRQ,AFG,19,20101129,1
IRQ,AFG,11,20070416,1
PAK,AFG,03,20090807,66
HUN,AFG,19,20120808,8
USA,AFG,04,20100118,1
DEU,AFG,05,20021202,5
IND,AFG,17,20070516,1
IRN,AFG,07,20111030,3
JPN,AFG,07,20031129,4
CAN,AFG,02,20091221,1
AFG,AFG,01,20110312,7
IND,AFG,04,20011212,3
