Actor1CountryCode,Actor2countryCode,EventRootCode,SQLDATE,NumMentions
NLD,ABW,17,20111213,4
USA,ABW,04,20100605,2
ABW,ABW,19,20050701,9
USA,ABW,19,20120910,6
BRA,ABW,01,20150115,6
AFG,AFG,01,20140705,4
SAU,AFG,04,20050221,2
IRQ,AFG,11,20101129,2
GBR,AFG,01,20090829,1
AFG,AFG,09,20121206,4
GBR,AFG,04,20110112,1
USA,AFG,17,20020104,2
IRQ,AFG,05,20080902,6
PAK,AFG,17,20110530,2
PAK,AFG,04,20020522,4
AFG,AFG,08,20110703,3
IRQ,AFG,17,20120718,2
USA,AFG,19,20150130,10
AFG,AFG,19,20140408,4
PAK,AFG,05,20140412,2
AFG,AFG,01,20140613,76
AFG,AFG,18,20140722,43
GBR,AFG,17,20121015,20
USA,AFG,17,20090730,4
IRL,AFG,04,20111114,7
USA,AFG,19,20110112,7
WST,AFG,05,20130309,6
PAK,AFG,19,20080626,5
CHE,AFG,04,20090130,9
AFG,AFG,07,20070509,57
ITA,AFG,03,20071223,10
AFG,AFG,08,20111114,6
AUS,AFG,19,20111114,4
USA,AFG,04,20011012,2
AUS,AFG,01,20011114,2
AFG,AFG,08,20100116,4
AFG,AFG,19,20120415,11
AFG,AFG,09,20070307,1
PAK,AFG,01,20140227,4
BRA,AFG,09,20080125,2
WST,AFG,03,20090731,134
AFG,AFG,16,20090828,7
AFG,AFG,03,20010428,1
AFG,AFG,17,20060803,3
USA,AFG,06,20010920,12
PAK,AFG,19,20110522,7
AFG,AFG,18,20020716,2
USA,AFG,06,20120502,1
AFG,AFG,19,20030606,3
DEU,AFG,01,20030609,4
TUR,AFG,05,20090401,12
USA,AFG,05,20100827,14
AFG,AFG,02,20130826,16
IRQ,AFG,04,20140414,2
USA,AFG,03,20121022,2
ALB,AFG,03,20101201,4
IRQ,AFG,08,20131121,4
PAK,AFG,01,20141005,1
AFG,AFG,13,20100217,15
CZE,AFG,12,20020316,5
GBR,AFG,19,20061030,2
AFG,AFG,13,20120505,6
USA,AFG,02,20090217,16
IRQ,AFG,02,20110726,1
USA,AFG,08,20130623,7
MDV,AFG,17,20090426,3
IRN,AFG,04,20000608,5
USA,AFG,04,20140723,3
IRQ,AFG,11,20080224,2
IRN,AFG,01,20010927,3
IRQ,AFG,04,20110530,2
TJK,AFG,05,20020904,7
PAK,AFG,19,20130504,102
AFG,AFG,05,20130612,2
AFG,AFG,11,20140223,2
CAN,AFG,01,20090131,1
USA,AFG,04,20090218,10
USA,AFG,16,20100721,4
JPN,AFG,04,20120710,4
USA,AFG,05,20090513,2
USA,AFG,04,20040818,4
TUR,AFG,04,20041129,4
PAK,AFG,06,20000810,9
AFG,AFG,02,20111119,4
USA,AFG,05,20121126,6
AFG,AFG,02,20010819,2
PAK,AFG,01,20080525,5
USA,AFG,19,20080529,4
PAK,AFG,14,20011008,1
PAK,AFG,17,20081124,13
FRA,AFG,19,20110727,2
USA,AFG,12,20130709,96
USA,AFG,04,20090308,38
IRN,AFG,01,20070503,2
WST,AFG,08,20150118,1
AFG,AFG,17,20040718,1
SWE,AFG,01,20101001,4
AUS,AFG,05,20070904,7
NLD,AFG,04,20090610,5
USA,AFG,05,20140917,12
NPL,AFG,01,20100126,2
PAK,AFG,17,20060815,1
AFG,AFG,05,20100302,4
USA,AFG,04,20120630,2
PAK,AFG,17,20100901,6
AFG,AFG,11,20070627,2
PAK,AFG,11,20130920,20
AFG,AFG,04,20140601,6
PAK,AFG,11,20140819,2
CAN,AFG,11,20091001,9
AFG,AFG,19,20060526,3
AFG,AFG,08,20011222,8
AFG,AFG,09,20141001,6
AFG,AFG,04,20130408,8
AFG,AFG,19,20140218,4
USA,AFG,01,20100829,2
ALB,AFG,07,20070427,2
IRN,AFG,04,20120916,1
TJK,AFG,08,20090521,1
AFG,AFG,16,20131009,10
TUR,AFG,19,20111206,20
SAU,AFG,02,20090927,2
USA,AFG,04,20100101,6
SEN,AFG,19,20011028,7
USA,AFG,18,20120312,3
PAK,AFG,04,20081030,9
USA,AFG,04,20120503,16
PAK,AFG,18,20110720,6
CAN,AFG,11,20070209,2
USA,AFG,03,20120819,36
WST,AFG,04,20090611,9
GBR,AFG,17,20121014,240
IRN,AFG,15,20001209,2
PAK,AFG,01,20140920,8
LBY,AFG,17,20110321,3
TUR,AFG,03,20091206,5
ITA,AFG,03,20100206,54
AFG,AFG,08,20100822,7
IRQ,AFG,03,20100912,2
