Actor1CountryCode,Actor2CountryCode,EventBaseCode,SQLDATE,NumMentions
AFG,USA,05,20160109,18
AFG,USA,05,20160109,2
AUS,CAN,04,20160109,4
AUS,CAN,05,20160109,4
CAN,AUS,04,20160109,4
CAN,JPN,04,20160109,1
JPN,CAN,04,20160109,1
JPN,CAN,05,20160109,1
USA,AFG,05,20160109,18
USA,AFG,05,20160109,2
AUS,GBR,18,20161209,7
USA,USA,17,20161209,2
USA,USA,17,20161209,3
USA,USA,17,20161209,3
ISR,MKD,01,20170101,2
ISR,MKD,01,20170101,2
SYR,USA,01,20170101,6
SYR,USA,01,20170101,2
SYR,USA,01,20170101,2
USA,USA,13,20170101,10
USA,USA,14,20170101,10
AUS,CAN,04,20170108,4
AUS,CAN,05,20170108,3
AUS,CAN,05,20170108,1
AUS,GBR,19,20170108,5
AUS,GBR,19,20170108,5
AUS,IDN,06,20170108,4
AUS,IDN,06,20170108,5
AUS,IDN,06,20170108,1
AUS,MYS,07,20170108,6
AUS,MYS,07,20170108,2
AUS,NZL,03,20170108,6
AZE,DEU,05,20170108,1
AZE,DEU,05,20170108,1
BDI,AFR,13,20170108,1
BDI,SOM,07,20170108,1
BDI,SOM,07,20170108,6
BDI,SOM,07,20170108,3
BDI,AFR,13,20170108,3
BHR,IND,03,20170108,1
BHR,IND,03,20170108,1
BRA,HTI,19,20170108,2
BRA,HTI,19,20170108,2
BRA,HTI,19,20170108,6
CAN,AUS,04,20170108,4
CAN,JPN,04,20170108,1
CAN,SYR,01,20170108,2
CAN,SYR,01,20170108,2
CAN,SYR,01,20170108,6
CHE,SYR,07,20170108,2
CHE,SYR,07,20170108,2
CHL,CHL,01,20170108,2
CHL,IRQ,17,20170108,2
CHL,USA,19,20170108,2
CHL,USA,19,20170108,8
CHL,USA,01,20170108,1
CHN,CHN,07,20170108,2
CHN,SEA,01,20170108,4
CHN,SEA,01,20170108,6
CHN,USA,02,20170108,4
CHN,USA,05,20170108,1
CHN,USA,05,20170108,2
CHN,USA,05,20170108,1
CIV,CIV,04,20170108,1
CIV,CIV,18,20170108,2
CIV,LKA,08,20170108,4
CIV,CIV,04,20170108,1
CIV,LKA,08,20170108,3
DEU,AZE,05,20170108,1
DEU,AZE,05,20170108,1
EUR,LBY,04,20170108,8
EUR,LBY,04,20170108,2
EUR,MEX,04,20170108,10
EUR,SYR,04,20170108,10
GBR,GBR,02,20170108,4
GBR,NZL,03,20170108,2
GBR,NZL,03,20170108,2
GBR,USA,04,20170108,4
GBR,USA,04,20170108,2
IDN,CHN,06,20170108,10
EUR,GBR,01,20170108,2
EUR,GBR,01,20170108,2
IND,IND,19,20170108,10
IND,LKA,04,20170108,5
IND,LKA,04,20170108,1
IND,LKA,04,20170108,1
IND,IND,17,20170108,10
IND,LKA,04,20170108,10
IND,LKA,04,20170108,10
IRN,IRN,05,20170108,2
IRN,IRN,07,20170108,3
IRN,SAU,03,20170108,1
IRN,IRN,05,20170108,6
IRQ,CHL,01,20170108,4
IRQ,SYR,11,20170108,2
IRQ,SYR,11,20170108,2
IRQ,SYR,11,20170108,6
IRQ,IRQ,19,20170108,6
ISR,IRN,01,20170108,2
ISR,IRN,08,20170108,2
ISR,IRN,08,20170108,2
ISR,MAR,05,20170108,8
ISR,PSE,04,20170108,4
ISR,USA,01,20170108,2
ISR,USA,01,20170108,1
ISR,IRN,08,20170108,6
ISR,PSE,04,20170108,2
JOR,SYR,02,20170108,1
JOR,SYR,02,20170108,1
JOR,USA,01,20170108,1
JPN,CAN,04,20170108,1
JPN,CAN,05,20170108,1
KOR,JPN,11,20170108,4
KOR,KOR,10,20170108,2
KOR,KOR,10,20170108,6
LBN,DEU,14,20170108,2
LBN,DEU,14,20170108,2
LBN,TUR,03,20170108,1
LBN,TUR,03,20170108,5
LBN,TUR,03,20170108,3
LBN,TUR,03,20170108,1
LBN,USA,04,20170108,2
LBN,USA,04,20170108,8
LBY,EUR,04,20170108,8
LBY,EUR,04,20170108,2
LKA,IND,04,20170108,1
LKA,IND,04,20170108,1
LKA,IND,04,20170108,5
LKA,IND,04,20170108,10
LKA,LKA,05,20170108,4
LKA,LKA,05,20170108,2
LKA,LKA,04,20170108,7
LKA,IND,04,20170108,10
LKA,LKA,05,20170108,6
LKA,LKA,04,20170108,7
MEX,EUR,04,20170108,2
MEX,EUR,04,20170108,8
MEX,MEX,17,20170108,4
JPN,USA,19,20170108,4
USA,USA,01,20170108,2
USA,USA,04,20170108,2
USA,USA,11,20170108,3
USA,USA,11,20170108,1
USA,USA,11,20170108,2
MYS,CHN,05,20170108,10
MYS,RUS,04,20170108,1
MYS,RUS,04,20170108,1
MYS,RUS,11,20170108,1
MYS,RUS,11,20170108,1
PHL,PHL,04,20170108,42
PHL,PHL,07,20170108,2
PHL,PHL,07,20170108,40
PHL,PHL,07,20170108,6
PHL,RUS,04,20170108,3
PHL,RUS,04,20170108,23
PHL,RUS,04,20170108,20
PHL,RUS,04,20170108,4
PHL,RUS,04,20170108,2
PHL,RUS,04,20170108,22
PHL,RUS,03,20170108,6
PHL,RUS,04,20170108,72
PHL,RUS,07,20170108,1
PHL,RUS,07,20170108,1
PHL,PHL,04,20170108,2
PHL,PHL,04,20170108,40
POL,POL,09,20170108,1
PSE,ISR,04,20170108,4
PSE,ISR,04,20170108,2
PSE,ISR,17,20170108,6
RUS,AUT,07,20170108,1
RUS,AUT,07,20170108,1
RUS,EUR,08,20170108,10
RUS,EUR,12,20170108,4
RUS,EUR,12,20170108,1
RUS,EUR,19,20170108,3
RUS,MYS,04,20170108,1
RUS,MYS,04,20170108,1
RUS,PHL,04,20170108,3
RUS,PHL,04,20170108,6
RUS,PHL,04,20170108,23
RUS,PHL,04,20170108,2
RUS,PHL,04,20170108,6
RUS,PHL,04,20170108,34
RUS,PHL,07,20170108,4
RUS,PHL,07,20170108,2
RUS,PHL,07,20170108,22
RUS,RUS,17,20170108,4
RUS,SYR,19,20170108,2
RUS,SYR,19,20170108,1
RUS,UKR,16,20170108,1
RUS,USA,03,20170108,1
RUS,USA,03,20170108,2
RUS,USA,03,20170108,3
RUS,USA,05,20170108,2
RUS,USA,05,20170108,2
RUS,USA,11,20170108,2
RUS,RUS,17,20170108,3
RUS,USA,11,20170108,1
RUS,PHL,04,20170108,72
SAU,IRN,03,20170108,1
SOM,BDI,08,20170108,2
SOM,BDI,08,20170108,8
SYR,CAN,05,20170108,3
SYR,CAN,05,20170108,7
SYR,EUR,04,20170108,10
SYR,IRQ,11,20170108,2
SYR,IRQ,11,20170108,6
SYR,IRQ,11,20170108,2
SYR,LBN,08,20170108,8
SYR,LBN,08,20170108,2
SYR,RUS,19,20170108,3
SYR,SYR,04,20170108,1
SYR,SYR,01,20170108,2
SYR,SYR,01,20170108,2
SYR,SYR,01,20170108,2
SYR,TUR,04,20170108,4
SYR,TUR,04,20170108,6
SYR,SYR,04,20170108,1
SYR,SYR,01,20170108,3
TUR,SYR,04,20170108,4
TUR,SYR,04,20170108,6
URY,CHN,06,20170108,10
USA,CHL,01,20170108,10
USA,CHL,01,20170108,4
USA,CHL,19,20170108,1
USA,CHL,19,20170108,1
USA,CHN,05,20170108,1
USA,CHN,05,20170108,2
USA,CHN,05,20170108,1
USA,EUR,08,20170108,10
USA,EUR,19,20170108,2
USA,EUR,19,20170108,2
USA,GBR,19,20170108,6
USA,GBR,19,20170108,4
USA,GBR,19,20170108,6
USA,GBR,19,20170108,4
USA,GBR,19,20170108,6
USA,GBR,19,20170108,4
USA,GBR,19,20170108,6
USA,GBR,19,20170108,4
USA,GBR,19,20170108,6
USA,GBR,19,20170108,4
USA,GRC,05,20170108,1
USA,GRC,05,20170108,10
USA,IRN,03,20170108,1
USA,IRN,03,20170108,1
USA,IRN,16,20170108,2
USA,IRQ,12,20170108,2
USA,IRQ,12,20170108,2
USA,ISR,07,20170108,1
USA,ISR,07,20170108,1
USA,ISR,16,20170108,2
USA,ISR,16,20170108,6
USA,LBN,04,20170108,2
USA,LBN,04,20170108,8
USA,JPN,19,20170108,4
USA,USA,01,20170108,2
USA,USA,04,20170108,2
USA,USA,06,20170108,3
USA,USA,06,20170108,2
USA,USA,06,20170108,2
USA,USA,06,20170108,3
USA,USA,09,20170108,2
USA,USA,01,20170108,4
USA,RUS,03,20170108,2
USA,RUS,03,20170108,2
USA,RUS,05,20170108,4
USA,RUS,12,20170108,2
USA,RUS,05,20170108,2
USA,TCD,05,20170108,2
USA,USA,08,20170108,1
USA,USA,03,20170108,4
USA,USA,12,20170108,2
USA,USA,01,20170108,5
USA,USA,01,20170108,2
USA,USA,05,20170108,2
USA,USA,07,20170108,6
USA,USA,07,20170108,2
USA,USA,02,20170108,2
USA,USA,04,20170108,2
USA,USA,19,20170108,2
USA,USA,19,20170108,1
USA,USA,19,20170108,1
USA,USA,19,20170108,2
USA,USA,01,20170108,1
USA,USA,01,20170108,1
USA,USA,02,20170108,1
USA,USA,04,20170108,2
USA,USA,04,20170108,1
USA,USA,04,20170108,1
USA,USA,05,20170108,1
USA,USA,05,20170108,1
USA,USA,05,20170108,1
USA,USA,05,20170108,1
USA,USA,11,20170108,10
USA,USA,11,20170108,2
USA,USA,11,20170108,2
USA,USA,12,20170108,4
USA,USA,12,20170108,1
USA,USA,20,20170108,3
USA,USA,20,20170108,2
USA,USA,19,20170108,10
USA,USA,01,20170108,2
USA,USA,03,20170108,2
USA,USA,17,20170108,4
USA,USA,01,20170108,2
USA,USA,07,20170108,8
USA,USA,04,20170108,2
USA,VNM,02,20170108,1
USA,VNM,02,20170108,1
USA,USA,05,20170108,2
USA,USA,03,20170108,6
USA,USA,17,20170108,5
USA,USA,17,20170108,1
USA,IND,18,20170108,2
USA,USA,01,20170108,5
USA,USA,01,20170108,2
USA,USA,05,20170108,2
USA,USA,04,20170108,2
USA,IRN,01,20170108,1
USA,IRN,01,20170108,2
USA,IRN,01,20170108,2
USA,IRN,01,20170108,6
USA,IRN,05,20170108,8
USA,IRN,05,20170108,2
USA,ISR,12,20170108,2
USA,RUS,12,20170108,1
USA,UKR,16,20170108,2
USA,USA,01,20170108,5
USA,USA,01,20170108,1
USA,USA,01,20170108,2
USA,USA,01,20170108,8
USA,USA,01,20170108,2
USA,USA,04,20170108,1
USA,USA,04,20170108,1
USA,USA,04,20170108,2
USA,USA,11,20170108,5
USA,USA,12,20170108,3
USA,USA,12,20170108,2
USA,USA,18,20170108,6
USA,USA,19,20170108,7
USA,USA,19,20170108,2
USA,USA,04,20170108,4
USA,USA,04,20170108,6
USA,USA,04,20170108,10
USA,USA,01,20170108,2
USA,USA,19,20170108,8
USA,USA,19,20170108,10
USA,USA,01,20170108,1
USA,USA,01,20170108,8
USA,USA,04,20170108,2
VAT,IRQ,01,20170108,2
VAT,IRQ,01,20170108,2
CHL,USA,04,20160109,4
ESP,ESP,04,20160109,1
ESP,PER,04,20160109,3
ESP,PER,04,20160109,1
ESP,PER,04,20160109,2
ESP,ESP,04,20160109,1
ISR,ISR,11,20160109,4
ISR,PSE,01,20160109,8
ISR,PSE,11,20160109,4
PER,ESP,04,20160109,6
USA,USA,04,20160109,8
USA,USA,04,20160109,2
USA,USA,04,20160109,8
USA,USA,01,20160109,2
USA,USA,01,20160109,1
USA,USA,02,20160109,2
PHL,TWN,02,20161209,2
PHL,TWN,02,20161209,1
PHL,TWN,02,20161209,1
PHL,TWN,04,20161209,1
PHL,TWN,04,20161209,1
PHL,TWN,02,20161209,6
